Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Danny Welbeck,18,eng ENG,FW,33-293,84,30,0,1,15,14,5,30,3,1,33.3,2,66.7,18,79,4,0,0,0,2,2,23,6
Evan Ferguson,28,ie IRL,FW,19-331,6,2,0,0,1,1,0,2,0,0,,0,,1,6,0,0,0,0,0,0,2,0
Georginio Rutter,14,fr FRA,FW,22-147,66,30,0,1,10,19,4,30,2,1,50.0,1,50.0,17,71,32,1,1,1,1,2,28,6
Julio Enciso,10,py PAR,FW,20-235,24,25,0,3,10,12,0,25,2,1,50.0,1,50.0,14,63,35,1,0,0,2,0,19,1
Kaoru Mitoma,22,jp JPN,LM,27-117,90,54,0,3,16,35,10,54,2,1,50.0,1,50.0,35,284,204,10,4,5,2,2,42,16
Yasin Ayari,26,se SWE,CM,20-344,90,63,0,7,24,32,7,63,5,1,20.0,1,20.0,33,193,120,5,3,1,1,1,46,6
Carlos Baleba,20,cm CMR,CM,20-255,90,63,0,5,40,20,1,63,6,4,66.7,2,33.3,29,234,104,2,4,0,1,0,37,0
Yankuba Minteh,17,gm GAM,RM,20-054,67,42,1,2,13,27,6,42,7,1,14.3,5,71.4,23,165,65,3,1,4,2,0,27,13
Simon Adingra,11,ci CIV,RM,22-257,23,16,0,1,4,11,1,16,1,0,0.0,1,100.0,9,83,60,1,1,0,0,0,11,7
Jack Hinshelwood,41,eng ENG,LB,19-156,67,68,0,20,33,16,0,68,0,0,,0,,19,75,45,1,0,0,1,1,37,2
Ferdi Kadioglu,24,tr TUR,LB,24-343,23,26,0,10,11,5,0,26,0,0,,0,,12,54,42,1,0,0,1,0,16,0
Lewis Dunk,5,eng ENG,CB,32-298,90,96,11,56,41,2,0,96,0,0,,0,,49,169,106,0,0,0,0,0,72,0
Jan Paul van Hecke,29,nl NED,CB,24-098,90,94,3,40,51,4,1,94,0,0,,0,,66,382,294,0,1,0,0,0,68,0
Joël Veltman,34,nl NED,RB,32-243,90,82,2,17,52,13,0,82,2,0,0.0,1,50.0,36,217,133,3,1,0,0,2,51,1
Bart Verbruggen,1,nl NED,GK,22-027,90,38,34,38,0,0,0,38,0,0,,0,,21,50,21,0,0,0,0,0,30,0
