Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Danny Welbeck,18,eng ENG,FW,33-301,90,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Kaoru Mitoma,22,jp JPN,"LW,LM",27-125,90,2,0,0,1,1,0,0,,0,3,0,3,1,3,0,0
Simon Adingra,11,ci CIV,RW,22-265,61,2,1,2,0,0,1,2,50.0,1,3,0,3,0,2,0,0
Yankuba Minteh,17,gm GAM,"RW,RM",20-062,29,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Georginio Rutter,14,fr FRA,AM,22-155,70,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,0,0
João Pedro,9,br BRA,"RW,AM",22-362,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Carlos Baleba,20,cm CMR,DM,20-263,61,3,1,0,0,3,0,0,,0,2,0,2,2,5,0,0
Mats Wieffer,27,nl NED,"DM,CM",24-311,29,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0
Jack Hinshelwood,41,eng ENG,"DM,CM",19-164,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Pervis Estupiñán,30,ec ECU,LB,26-245,81,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
Evan Ferguson,28,ie IRL,LW,19-339,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lewis Dunk,5,eng ENG,CB,32-306,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Jan Paul van Hecke,29,nl NED,CB,24-106,90,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0
Joël Veltman,34,nl NED,"RB,CB",32-251,90,3,1,2,0,1,1,2,50.0,1,2,0,2,1,4,2,0
Bart Verbruggen,1,nl NED,GK,22-035,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
