Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Danny Welbeck,18,eng ENG,FW,33-307,80,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,100.0
Evan Ferguson,28,ie IRL,FW,19-345,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Kaoru Mitoma,22,jp JPN,LW,27-131,90,0,0,0,0,1,0,4,0,2,0,0,0,4,1,0,100.0
Georginio Rutter,14,fr FRA,RW,22-161,70,0,0,0,2,0,0,0,2,0,0,1,0,3,2,1,66.7
Yankuba Minteh,17,gm GAM,RW,20-068,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
Jack Hinshelwood,41,eng ENG,"LM,RB",19-170,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0
Mats Wieffer,27,nl NED,CM,24-317,56,0,0,0,2,0,0,0,1,0,0,0,0,2,1,1,50.0
Yasin Ayari,26,se SWE,RM,20-358,34,0,0,0,1,1,0,1,1,2,0,0,0,4,0,1,0.0
Carlos Baleba,20,cm CMR,"RM,CM",20-269,90,0,0,0,0,2,0,0,1,1,0,0,0,11,0,0,
Pervis Estupiñán,30,ec ECU,LB,26-251,90,1,0,0,1,1,0,6,2,1,0,0,0,8,3,2,60.0
Lewis Dunk,5,eng ENG,CB,32-312,90,1,0,0,0,1,1,0,2,0,0,0,0,9,1,0,100.0
Adam Webster,4,eng ENG,CB,29-268,56,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
Igor,3,br BRA,CB,26-234,34,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
Ferdi Kadioglu,24,tr TUR,RB,24-357,70,0,0,0,0,1,0,2,2,1,0,0,0,3,1,0,100.0
Julio Enciso,10,py PAR,LM,20-249,20,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,
Bart Verbruggen,1,nl NED,GK,22-041,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
