Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Nicolas Jackson,15,sn SEN,FW,23-059,66,21,0,2,7,12,4,21,0,0,,0,,10,38,10,0,0,0,1,0,16,3
Marc Guiu,38,es ESP,FW,18-227,24,5,0,1,2,2,0,5,1,0,0.0,1,100.0,2,3,1,0,0,0,0,0,3,0
Christopher Nkunku,18,fr FRA,LW,26-278,57,38,1,9,11,18,5,38,3,0,0.0,3,100.0,24,128,29,2,0,2,1,1,25,5
Pedro Neto,19,pt POR,LW,24-162,33,23,0,0,9,14,3,23,2,1,50.0,1,50.0,20,115,73,3,0,0,2,0,22,1
Cole Palmer,20,eng ENG,RW,22-104,90,57,0,12,21,24,1,57,3,1,33.3,2,66.7,41,302,125,6,4,0,3,3,44,3
Enzo Fernández,8,ar ARG,"AM,DM",23-214,90,67,1,9,37,21,6,67,0,0,,0,,44,102,45,0,0,0,2,2,58,5
Roméo Lavia,45,be BEL,DM,20-225,66,48,3,13,22,13,0,48,0,0,,0,,26,138,51,0,0,0,0,1,31,1
Kiernan Dewsbury-Hall,22,eng ENG,AM,25-347,24,19,0,1,11,7,0,19,0,0,,0,,13,61,28,1,0,0,0,0,16,0
Moisés Caicedo,25,ec ECU,DM,22-290,90,61,0,10,30,21,0,61,1,1,100.0,0,0.0,34,82,41,0,0,0,1,0,47,0
Marc Cucurella,3,es ESP,LB,26-027,79,77,4,29,31,17,1,77,0,0,,0,,30,83,44,1,0,0,0,0,51,1
Renato Veiga,40,pt POR,LB,21-020,11,10,0,3,5,2,0,10,0,0,,0,,4,17,10,1,0,0,0,0,5,0
Levi Colwill,6,eng ENG,CB,21-174,90,56,15,30,25,1,0,56,0,0,,0,,33,132,86,0,0,0,0,0,42,0
Wesley Fofana,29,fr FRA,CB,23-245,90,64,11,31,31,2,1,64,0,0,,0,,49,277,170,0,1,0,0,1,54,0
Malo Gusto,27,fr FRA,RB,21-091,90,51,2,13,17,21,3,51,1,1,100.0,0,0.0,23,81,39,2,1,0,0,1,30,7
Robert Sánchez,1,es ESP,GK,26-274,90,32,27,32,0,0,0,32,0,0,,0,,17,114,75,0,0,0,0,0,15,0
