Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Nicolas Jackson,15,sn SEN,FW,23-066,67,0,0,0,2,2,1,0,0,0,0,0,0,1,0,1,0.0
João Félix,14,pt POR,"RM,FW",24-289,23,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
Mykhailo Mudryk,10,ua UKR,LW,23-233,45,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0.0
Pedro Neto,7,pt POR,LW,24-169,45,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,100.0
Noni Madueke,11,eng ENG,RW,22-168,90,0,0,0,1,2,0,2,0,1,0,0,0,4,0,0,
Cole Palmer,20,eng ENG,AM,22-111,82,1,0,0,1,0,0,5,1,0,0,0,0,6,0,0,
Christopher Nkunku,18,fr FRA,"FW,AM",26-285,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Enzo Fernández,8,ar ARG,"DM,CM",23-221,90,0,0,0,0,1,0,3,0,3,0,0,0,5,0,0,
Moisés Caicedo,25,ec ECU,DM,22-297,75,0,0,0,0,1,0,0,1,1,0,0,0,2,2,0,100.0
Kiernan Dewsbury-Hall,22,eng ENG,"LM,DM",25-354,15,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
Marc Cucurella,3,es ESP,LB,26-034,82,1,0,0,2,2,0,0,2,1,0,0,0,5,1,1,50.0
Renato Veiga,40,pt POR,LB,21-027,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Levi Colwill,6,eng ENG,CB,21-181,90,0,0,0,0,1,0,0,1,1,0,0,0,1,1,3,25.0
Wesley Fofana,29,fr FRA,CB,23-252,90,0,0,0,3,2,0,0,1,0,0,0,0,1,0,1,0.0
Malo Gusto,27,fr FRA,RB,21-098,90,1,0,0,2,1,0,0,1,3,0,0,0,5,0,0,
Robert Sánchez,1,es ESP,GK,26-281,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
