Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Nicolas Jackson,15,sn SEN,FW,23-164,70,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0
Christopher Nkunku,18,fr FRA,FW,27-017,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jadon Sancho,19,eng ENG,LW,24-251,70,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Noni Madueke,11,eng ENG,RW,22-266,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Pedro Neto,7,pt POR,"RW,LW",24-267,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cole Palmer,20,eng ENG,AM,22-209,85,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0
João Félix,14,pt POR,AM,25-021,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Enzo Fernández,8,ar ARG,DM,23-319,90,3,1,0,1,2,0,1,0.0,1,0,0,0,0,3,0,0
Roméo Lavia,45,be BEL,DM,20-330,85,1,1,0,0,1,1,2,50.0,1,1,0,1,1,2,0,0
Malo Gusto,27,fr FRA,RB,21-196,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marc Cucurella,3,es ESP,LB,26-132,90,4,3,3,1,0,3,3,100.0,0,4,0,4,0,4,2,0
Levi Colwill,6,eng ENG,CB,21-279,90,2,1,1,1,0,2,3,66.7,1,4,3,1,0,2,0,0
Wesley Fofana,29,fr FRA,CB,23-350,59,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,0,1
Benoît Badiashile,5,fr FRA,CB,23-250,31,1,1,1,0,0,0,0,,0,1,1,0,0,1,0,0
Moisés Caicedo,25,ec ECU,"RB,DM",23-029,90,2,0,0,1,1,1,1,100.0,0,1,0,1,2,4,1,0
Robert Sánchez,1,es ESP,GK,27-013,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
