Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Nicolas Jackson,15,sn SEN,FW,23-189,72,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
Christopher Nkunku,18,fr FRA,FW,27-042,18,5,3,2,0,0,0,0,0,0,0,0,0,3,0,0
Jadon Sancho,19,eng ENG,LW,24-276,90,37,35,2,0,1,0,2,2,0,0,0,0,29,0,0
Pedro Neto,7,pt POR,RW,24-292,90,30,30,0,0,0,0,3,0,0,0,0,0,24,0,0
Cole Palmer,20,eng ENG,AM,22-234,90,50,44,5,4,2,0,3,0,0,0,0,0,34,1,1
Moisés Caicedo,25,ec ECU,DM,23-054,90,64,63,1,1,0,0,0,0,0,0,0,0,51,0,2
Enzo Fernández,8,ar ARG,DM,23-344,90,74,66,7,3,1,0,3,1,3,2,0,0,57,1,2
Marc Cucurella,3,es ESP,LB,26-157,90,36,34,2,0,0,0,1,2,0,0,0,0,31,0,2
Levi Colwill,6,eng ENG,CB,21-304,90,64,53,11,2,0,0,1,0,0,0,0,0,59,0,1
Tosin Adarabioyo,4,eng ENG,CB,27-093,90,62,62,0,0,0,0,0,0,0,0,0,0,57,0,0
Malo Gusto,27,fr FRA,RB,21-221,90,70,61,9,2,0,0,1,7,0,0,0,0,62,0,0
Robert Sánchez,1,es ESP,GK,27-038,90,40,38,1,1,0,0,0,0,0,0,0,0,26,1,0
