Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Christopher Nkunku,18,fr FRA,FW,27-020,90,21,0,1,6,14,6,21,2,1,50.0,1,50.0,15,54,30,2,0,3,0,1,20,6
João Félix,14,pt POR,LW,25-024,90,49,1,6,28,17,6,49,4,1,25.0,2,50.0,34,250,187,5,1,1,1,0,38,3
Noni Madueke,11,eng ENG,RW,22-269,71,52,1,5,11,36,14,52,5,2,40.0,2,40.0,34,266,204,7,5,6,1,3,35,11
Jadon Sancho,19,eng ENG,RW,24-254,19,19,0,0,4,15,1,19,0,0,,0,,13,51,34,0,0,0,0,0,18,5
Cole Palmer,20,eng ENG,AM,22-212,78,44,0,1,17,26,8,44,1,0,0.0,1,100.0,28,149,54,3,3,2,3,2,34,7
Kiernan Dewsbury-Hall,22,eng ENG,AM,26-089,12,12,1,2,2,8,0,12,0,0,,0,,5,12,4,0,0,0,0,0,9,1
Moisés Caicedo,25,ec ECU,DM,23-032,90,75,5,10,51,14,0,75,0,0,,0,,50,153,68,0,1,0,1,0,64,1
Enzo Fernández,8,ar ARG,DM,23-322,90,90,4,13,48,30,3,90,0,0,,0,,49,139,80,1,0,0,0,0,75,4
Marc Cucurella,3,es ESP,LB,26-135,78,37,4,9,16,12,3,37,0,0,,0,,14,38,24,0,1,0,0,0,21,4
Renato Veiga,40,pt POR,LB,21-128,12,9,0,1,7,1,0,9,0,0,,0,,6,16,9,0,0,0,0,0,7,1
Tosin Adarabioyo,4,eng ENG,CB,27-071,90,63,8,22,39,2,2,63,0,0,,0,,38,116,48,0,0,0,0,0,46,0
Axel Disasi,2,fr FRA,CB,26-268,90,69,7,31,30,8,1,69,0,0,,0,,35,78,41,0,1,0,0,0,55,0
Malo Gusto,27,fr FRA,RB,21-199,90,90,5,26,43,21,2,90,0,0,,0,,47,227,168,5,2,0,0,0,66,5
Filip Jørgensen,12,dk DEN,GK,22-232,90,22,18,22,0,0,0,22,0,0,,0,,17,56,36,0,0,0,0,0,15,0
