Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Pedro Neto,7,pt POR,FW,24-350,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Christopher Nkunku,18,fr FRA,LW,27-100,75,3,1,0,2,1,0,0,,0,0,0,0,2,5,0,0
Jadon Sancho,19,eng ENG,LW,24-334,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Cole Palmer,20,eng ENG,RW,22-292,90,2,1,2,0,0,0,0,,0,0,0,0,1,3,2,0
Enzo Fernández,8,ar ARG,AM,24-036,90,1,1,0,1,0,0,2,0.0,2,1,0,1,0,1,1,1
Moisés Caicedo,25,ec ECU,DM,23-112,90,3,0,0,3,0,2,3,66.7,1,3,1,2,1,4,2,0
Reece James,24,eng ENG,DM,25-076,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,2,1
Marc Cucurella,3,es ESP,LB,26-215,90,2,1,1,1,0,1,3,33.3,2,3,1,2,1,3,2,0
Levi Colwill,6,eng ENG,CB,21-362,90,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,4,0
Trevoh Chalobah,23,eng ENG,CB,25-232,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Tosin Adarabioyo,4,eng ENG,CB,27-151,83,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,7,0
Malo Gusto,27,fr FRA,RB,21-279,90,4,2,3,1,0,2,4,50.0,2,1,1,0,1,5,5,2
Filip Jørgensen,12,dk DEN,GK,22-312,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
