Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Pedro Neto,7,pt POR,FW,24-353,67,0,0,0,1,0,1,4,0,0,0,0,0,1,0,0,
Tyrique George,32,eng ENG,"FW,LW",19-021,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Christopher Nkunku,18,fr FRA,LW,27-103,82,0,0,0,0,2,1,1,0,0,0,0,0,4,1,0,100.0
Joshua Acheampong,34,eng ENG,RB,18-296,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jadon Sancho,19,eng ENG,RW,24-337,67,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,100.0
Kiernan Dewsbury-Hall,22,eng ENG,"RW,AM",26-172,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Cole Palmer,20,eng ENG,"AM,FW",22-295,90,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
Moisés Caicedo,25,ec ECU,DM,23-115,82,1,0,0,1,0,0,0,1,0,0,0,0,4,0,0,
Mathis Amougou,39,fr FRA,DM,19-038,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Enzo Fernández,8,ar ARG,DM,24-039,89,0,0,0,0,2,0,2,0,1,0,0,0,7,0,0,
Shumaira Mheuka,76,eng ENG,DM,17-128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Marc Cucurella,3,es ESP,LB,26-218,90,0,0,0,2,1,0,0,1,5,0,0,0,6,0,0,
Levi Colwill,6,eng ENG,CB,21-365,90,0,0,0,1,1,0,1,2,1,0,0,0,9,2,1,66.7
Tosin Adarabioyo,4,eng ENG,CB,27-154,90,0,0,0,0,0,0,0,1,0,0,0,0,2,5,6,45.5
Malo Gusto,27,fr FRA,"RB,RW",21-282,90,0,0,0,1,0,0,0,1,2,0,0,0,5,1,0,100.0
Filip Jørgensen,12,dk DEN,GK,22-315,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
