Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Pedro Neto,7,pt POR,FW,24-353,67,37,0,0,9,28,5,37,2,0,0.0,2,100.0,25,157,57,3,1,0,5,0,30,8
Tyrique George,32,eng ENG,"FW,LW",19-021,23,13,0,1,1,11,4,13,0,0,,0,,10,136,94,4,1,2,0,0,12,4
Christopher Nkunku,18,fr FRA,LW,27-103,82,34,0,2,6,26,8,34,1,0,0.0,1,100.0,27,157,87,3,2,2,0,1,33,10
Joshua Acheampong,34,eng ENG,RB,18-296,8,11,0,4,5,2,0,11,0,0,,0,,9,58,32,0,0,0,0,0,10,0
Jadon Sancho,19,eng ENG,RW,24-337,67,40,0,6,14,20,4,40,2,1,50.0,1,50.0,31,199,112,4,1,2,0,1,33,9
Kiernan Dewsbury-Hall,22,eng ENG,"RW,AM",26-172,23,19,0,1,9,9,0,19,0,0,,0,,14,56,31,1,1,0,0,0,17,1
Cole Palmer,20,eng ENG,"AM,FW",22-295,90,62,2,7,24,31,8,62,3,2,66.7,1,33.3,41,299,66,0,1,1,1,3,50,5
Moisés Caicedo,25,ec ECU,DM,23-115,82,61,0,15,37,9,0,61,0,0,,0,,35,197,81,1,1,0,1,1,50,0
Mathis Amougou,39,fr FRA,DM,19-038,8,9,1,2,4,3,0,9,0,0,,0,,7,25,5,0,1,0,0,1,6,0
Enzo Fernández,8,ar ARG,DM,24-039,89,76,3,13,35,30,1,76,1,1,100.0,0,0.0,45,209,120,3,6,0,2,0,55,5
Shumaira Mheuka,76,eng ENG,DM,17-128,1,2,0,0,0,2,1,2,0,0,,0,,1,0,0,0,0,0,0,0,2,0
Marc Cucurella,3,es ESP,LB,26-218,90,82,1,20,32,30,3,82,1,1,100.0,0,0.0,38,119,71,1,0,0,2,0,50,3
Levi Colwill,6,eng ENG,CB,21-365,90,93,13,38,46,10,2,93,0,0,,0,,64,245,73,1,1,1,0,1,72,0
Tosin Adarabioyo,4,eng ENG,CB,27-154,90,87,17,38,48,1,1,87,0,0,,0,,51,196,128,0,0,0,0,0,67,0
Malo Gusto,27,fr FRA,"RB,RW",21-282,90,78,1,21,42,15,0,78,0,0,,0,,59,284,149,2,2,1,1,3,61,1
Filip Jørgensen,12,dk DEN,GK,22-315,90,37,34,37,0,0,0,37,0,0,,0,,27,151,112,0,0,0,0,0,27,0
