Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Nicolas Jackson,15,sn SEN,FW,23-214,90,0,0,0,0,1,4,0,0,1,0,0,0,2,1,1,50.0
Pedro Neto,7,pt POR,LW,24-317,61,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0.0
Jadon Sancho,19,eng ENG,LW,24-301,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Noni Madueke,11,eng ENG,RW,22-316,83,0,0,0,2,1,0,7,0,0,0,0,0,0,0,0,
Tyrique George,32,eng ENG,RW,18-351,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Cole Palmer,20,eng ENG,AM,22-259,83,0,0,0,0,2,0,3,0,0,0,0,0,3,0,0,
João Félix,14,pt POR,AM,25-071,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Moisés Caicedo,25,ec ECU,DM,23-079,90,1,0,0,1,2,0,0,1,2,0,0,0,7,1,0,100.0
Kiernan Dewsbury-Hall,22,eng ENG,DM,26-136,76,0,0,0,1,1,0,1,0,2,0,0,0,1,0,1,0.0
Malo Gusto,27,fr FRA,LB,21-246,14,0,0,0,0,3,0,0,1,0,0,0,0,3,1,0,100.0
Marc Cucurella,3,es ESP,"LB,DM",26-182,90,0,0,0,1,1,0,1,0,0,0,0,0,9,0,2,0.0
Trevoh Chalobah,23,eng ENG,CB,25-199,90,0,0,0,1,1,0,1,3,0,0,0,0,1,4,1,80.0
Tosin Adarabioyo,4,eng ENG,CB,27-118,90,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
Reece James,24,eng ENG,RB,25-043,76,0,0,0,2,1,0,3,1,3,0,0,0,4,3,1,75.0
Axel Disasi,2,fr FRA,RB,26-315,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Robert Sánchez,1,es ESP,GK,27-063,90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
