Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Pedro Neto,7,pt POR,FW,25-007,90,1,0,0,1,1,0,6,0,0,0,0,0,4,0,1,0.0
Christopher Nkunku,18,fr FRA,LW,27-122,75,0,0,0,1,1,0,0,0,2,0,0,0,1,0,3,0.0
Kiernan Dewsbury-Hall,22,eng ENG,LW,26-191,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Jadon Sancho,19,eng ENG,RW,24-356,75,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Tyrique George,32,eng ENG,RW,19-040,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Enzo Fernández,8,ar ARG,AM,24-058,90,0,0,0,5,1,0,1,0,1,0,0,0,3,0,2,0.0
Moisés Caicedo,25,ec ECU,DM,23-134,90,0,0,0,0,3,0,0,2,1,0,0,0,3,0,1,0.0
Reece James,24,eng ENG,DM,25-098,81,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,
Roméo Lavia,45,be BEL,DM,21-069,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marc Cucurella,3,es ESP,LB,26-237,90,0,0,0,1,1,1,3,0,1,0,0,0,1,1,2,33.3
Benoît Badiashile,5,fr FRA,CB,23-355,85,0,0,0,0,0,0,0,0,2,0,0,0,3,2,1,66.7
Tosin Adarabioyo,4,eng ENG,CB,27-173,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Levi Colwill,6,eng ENG,CB,22-018,90,1,0,0,1,0,0,0,1,1,0,0,0,4,3,2,60.0
Wesley Fofana,29,fr FRA,RB,24-089,85,1,0,0,4,0,0,0,1,0,0,0,0,2,2,1,66.7
Malo Gusto,27,fr FRA,RB,21-301,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Robert Sánchez,1,es ESP,GK,27-118,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
