Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Nicolas Jackson,15,sn SEN,FW,23-129,77,0,0,0,2,1,1,0,0,0,0,0,0,3,0,1,0.0
Christopher Nkunku,18,fr FRA,FW,26-348,13,1,0,0,2,1,0,0,0,0,0,0,0,1,2,0,100.0
Pedro Neto,7,pt POR,"LW,RW",24-232,90,1,0,0,2,0,0,4,2,0,0,0,0,2,1,3,25.0
Noni Madueke,11,eng ENG,RW,22-231,66,1,0,0,1,0,0,3,0,0,0,0,0,5,0,3,0.0
Mykhailo Mudryk,10,ua UKR,LW,23-296,24,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
Cole Palmer,20,eng ENG,AM,22-174,90,0,0,0,1,3,1,5,1,0,0,0,0,7,0,1,0.0
Roméo Lavia,45,be BEL,DM,20-295,71,1,0,0,0,1,0,0,2,1,0,0,0,4,0,0,
Enzo Fernández,8,ar ARG,DM,23-284,19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0
Moisés Caicedo,25,ec ECU,DM,22-360,90,0,0,0,2,0,0,1,6,3,0,0,0,4,1,0,100.0
Reece James,24,eng ENG,"LB,RB",24-324,90,0,0,0,0,2,0,5,2,0,0,0,0,5,3,0,100.0
Levi Colwill,6,eng ENG,CB,21-244,90,0,0,0,0,1,0,0,1,1,0,0,0,2,1,2,33.3
Wesley Fofana,29,fr FRA,CB,23-315,90,1,0,0,1,3,0,0,1,0,0,0,0,3,4,3,57.1
Malo Gusto,27,fr FRA,RB,21-161,77,0,0,0,1,3,0,2,1,1,0,0,0,6,1,0,100.0
Marc Cucurella,3,es ESP,LB,26-097,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Robert Sánchez,1,es ESP,GK,26-344,90,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
