Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Nicolas Jackson,15,sn SEN,FW,23-093,63,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
Christopher Nkunku,18,fr FRA,FW,26-312,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jadon Sancho,19,eng ENG,LW,24-180,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Pedro Neto,7,pt POR,LW,24-196,34,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0
Noni Madueke,11,eng ENG,RW,22-195,90,0,0,0,0,1,0,1,1,0,0,0,0,8,1,0,100.0
Cole Palmer,20,eng ENG,AM,22-138,63,0,0,0,1,5,0,0,0,0,0,0,0,3,0,0,
João Félix,14,pt POR,AM,24-316,27,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,
Enzo Fernández,8,ar ARG,DM,23-248,83,0,0,0,2,3,0,1,1,1,0,0,0,6,0,4,0.0
Kiernan Dewsbury-Hall,22,eng ENG,DM,26-015,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Moisés Caicedo,25,ec ECU,DM,22-324,90,0,0,0,1,2,0,2,1,4,0,0,0,4,3,0,100.0
Marc Cucurella,3,es ESP,LB,26-061,90,1,0,0,1,2,0,0,2,2,0,0,0,4,2,0,100.0
Levi Colwill,6,eng ENG,CB,21-208,90,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2,50.0
Tosin Adarabioyo,4,eng ENG,CB,26-363,90,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,
Wesley Fofana,29,fr FRA,RB,23-279,56,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,100.0
Axel Disasi,2,fr FRA,RB,26-194,34,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0
Robert Sánchez,1,es ESP,GK,26-308,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
