Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jean-Philippe Mateta,14,fr FRA,FW,27-292,55,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
Eddie Nketiah,9,eng ENG,FW,25-321,35,13,12,1,0,1,0,0,0,0,0,0,0,11,0,0
Eberechi Eze,10,eng ENG,AM,26-291,56,12,5,7,1,0,0,2,0,1,1,0,0,9,0,0
Daichi Kamada,18,jp JPN,AM,28-254,34,25,23,2,1,0,0,2,0,1,1,0,0,24,0,0
Ismaila Sarr,7,sn SEN,AM,27-050,75,20,20,0,0,0,0,1,0,0,0,0,0,13,0,1
Romain Esse,21,eng ENG,AM,19-338,15,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
Will Hughes,19,eng ENG,CM,29-364,56,23,22,1,0,0,0,1,0,1,1,0,0,18,0,1
Adam Wharton,20,eng ENG,CM,20-318,34,29,28,1,0,0,0,1,0,1,1,0,0,21,0,0
Jefferson Lerma,8,co COL,CM,30-173,84,39,35,4,0,2,0,1,4,0,0,0,0,30,0,1
Justin Devenny,55,nir NIR,CM,21-187,6,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Tyrick Mitchell,3,eng ENG,WB,25-227,90,42,32,10,0,0,0,3,10,0,0,0,0,30,0,3
Daniel Muñoz,12,co COL,WB,28-325,90,28,22,6,1,0,0,1,5,0,0,0,0,22,0,1
Marc Guéhi,6,eng ENG,CB,24-277,90,62,57,4,3,1,0,2,1,0,0,0,0,51,1,2
Maxence Lacroix,5,fr FRA,CB,25-010,90,39,38,1,1,0,0,0,0,0,0,0,0,29,0,0
Chris Richards,26,us USA,CB,25-019,90,17,16,1,1,0,1,0,0,0,0,0,0,16,0,0
Dean Henderson,1,eng ENG,GK,28-035,90,26,19,7,2,0,0,0,0,0,0,0,0,10,0,0
