Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jean-Philippe Mateta,14,fr FRA,FW,27-278,58,18,15,2,0,0,0,0,0,0,0,0,0,13,1,1
Eddie Nketiah,9,eng ENG,FW,25-307,32,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Eberechi Eze,10,eng ENG,AM,26-277,90,43,40,2,1,1,1,2,0,1,0,0,0,32,1,0
Ismaila Sarr,7,sn SEN,"AM,WB",27-036,90,37,37,0,0,0,0,3,0,0,0,0,0,25,0,0
Jefferson Lerma,8,co COL,"CM,CB",30-159,90,64,61,3,0,0,1,2,3,0,0,0,0,47,0,1
Adam Wharton,20,eng ENG,CM,20-304,85,45,42,3,2,0,0,1,0,1,1,0,0,39,0,1
Justin Devenny,55,nir NIR,CM,21-173,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Tyrick Mitchell,3,eng ENG,WB,25-213,58,31,30,0,0,0,0,2,0,0,0,0,0,26,1,1
Ben Chilwell,25,eng ENG,WB,28-102,32,19,16,3,1,0,0,2,2,0,0,0,0,12,0,0
Daniel Muñoz,12,co COL,WB,28-311,75,35,29,6,0,0,0,1,6,0,0,0,0,30,0,1
Matheus França,11,br BRA,"AM,WB",21-001,15,4,4,0,0,0,0,1,0,0,0,0,0,2,0,0
Marc Guéhi,6,eng ENG,CB,24-263,90,91,80,11,5,0,0,0,1,0,0,0,0,83,0,0
Maxence Lacroix,5,fr FRA,CB,24-361,90,70,66,4,4,0,0,0,0,0,0,0,0,65,0,0
Nathaniel Clyne,17,eng ENG,CB,33-362,58,58,55,2,1,0,0,2,1,0,0,0,0,48,1,1
Daichi Kamada,18,jp JPN,CM,28-240,32,17,17,0,0,0,0,0,0,0,0,0,0,14,0,0
Dean Henderson,1,eng ENG,GK,28-021,90,23,22,1,1,0,0,0,0,0,0,0,0,19,0,1
