Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Jean-Philippe Mateta,14,fr FRA,FW,27-278,58,27,0,0,12,15,3,27,2,2,100.0,0,0.0,21,78,33,1,1,0,7,1,21,7
Eddie Nketiah,9,eng ENG,FW,25-307,32,15,1,1,6,9,4,15,2,0,0.0,1,50.0,9,52,19,0,0,0,3,1,10,5
Eberechi Eze,10,eng ENG,AM,26-277,90,52,1,4,28,20,1,52,5,3,60.0,2,40.0,40,233,94,2,2,0,2,2,39,5
Ismaila Sarr,7,sn SEN,"AM,WB",27-036,90,48,2,6,18,24,7,48,1,0,0.0,0,0.0,20,110,84,2,2,0,2,1,33,9
Jefferson Lerma,8,co COL,"CM,CB",30-159,90,74,4,18,43,13,0,74,0,0,,0,,40,213,89,1,1,0,1,1,48,0
Adam Wharton,20,eng ENG,CM,20-304,85,57,3,12,36,9,1,57,1,0,0.0,1,100.0,29,147,51,1,1,0,1,0,34,0
Justin Devenny,55,nir NIR,CM,21-173,5,3,1,1,1,1,0,3,0,0,,0,,2,6,2,0,0,0,0,0,2,0
Tyrick Mitchell,3,eng ENG,WB,25-213,58,36,1,8,17,11,0,36,0,0,,0,,20,71,38,1,0,0,1,0,23,4
Ben Chilwell,25,eng ENG,WB,28-102,32,26,0,8,12,7,0,26,0,0,,0,,12,36,24,1,0,0,0,1,10,2
Daniel Muñoz,12,co COL,WB,28-311,75,44,2,8,22,14,0,44,1,0,0.0,1,100.0,23,90,37,1,0,0,0,2,27,4
Matheus França,11,br BRA,"AM,WB",21-001,15,8,0,0,3,5,2,8,0,0,,0,,7,29,15,1,0,1,1,0,6,1
Marc Guéhi,6,eng ENG,CB,24-263,90,101,7,37,55,9,1,101,0,0,,0,,56,274,185,2,1,0,0,0,66,0
Maxence Lacroix,5,fr FRA,CB,24-361,90,87,5,52,33,2,1,87,0,0,,0,,54,253,93,0,0,0,1,0,60,1
Nathaniel Clyne,17,eng ENG,CB,33-362,58,61,1,26,33,2,1,61,0,0,,0,,48,179,57,1,0,1,0,0,50,1
Daichi Kamada,18,jp JPN,CM,28-240,32,21,1,7,9,5,0,21,0,0,,0,,11,50,27,1,1,0,0,0,12,1
Dean Henderson,1,eng ENG,GK,28-021,90,23,19,23,0,0,0,23,0,0,,0,,19,142,80,0,0,0,0,0,17,0
