Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jean-Philippe Mateta,14,fr FRA,FW,27-170,59,1,1,0,1,0,0,1,0.0,1,1,1,0,0,1,0,0
Eddie Nketiah,9,eng ENG,FW,25-199,31,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0
Eberechi Eze,10,eng ENG,AM,26-169,59,5,4,3,1,1,3,3,100.0,0,0,0,0,0,5,0,0
Daichi Kamada,18,jp JPN,AM,28-132,31,1,1,1,0,0,0,2,0.0,2,0,0,0,1,2,0,0
Ismaila Sarr,7,sn SEN,AM,26-294,89,2,1,0,2,0,1,2,50.0,1,3,2,1,1,3,1,0
Justin Devenny,55,nir NIR,AM,21-065,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jefferson Lerma,8,co COL,CM,30-051,90,0,0,0,0,0,0,3,0.0,3,2,2,0,2,2,1,0
Will Hughes,19,eng ENG,CM,29-242,84,5,2,3,2,0,2,5,40.0,3,1,0,1,0,5,0,0
Cheick Doucouré,28,ml MLI,CM,24-342,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Tyrick Mitchell,3,eng ENG,WB,25-105,84,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,4,0
Nathaniel Clyne,17,eng ENG,WB,33-254,6,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0
Daniel Muñoz,12,co COL,WB,28-203,90,3,1,2,0,1,1,3,33.3,2,0,0,0,1,4,1,0
Marc Guéhi,6,eng ENG,CB,24-155,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0
Maxence Lacroix,5,fr FRA,CB,24-253,90,1,0,1,0,0,1,1,100.0,0,2,1,1,1,2,10,0
Trevoh Chalobah,27,eng ENG,CB,25-163,90,2,2,0,2,0,2,5,40.0,3,3,2,1,2,4,8,0
Dean Henderson,1,eng ENG,GK,27-278,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
