Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jean-Philippe Mateta,14,fr FRA,FW,27-170,59,0,0,0,3,0,1,0,0,1,0,0,0,1,4,5,44.4
Eddie Nketiah,9,eng ENG,FW,25-199,31,0,0,0,2,2,0,0,0,0,0,0,0,3,2,1,66.7
Eberechi Eze,10,eng ENG,AM,26-169,59,0,0,0,0,1,0,3,0,4,0,0,0,2,0,0,
Daichi Kamada,18,jp JPN,AM,28-132,31,0,0,0,0,0,0,1,1,1,0,0,0,4,0,1,0.0
Ismaila Sarr,7,sn SEN,AM,26-294,89,1,0,0,2,2,0,2,1,1,0,0,0,6,2,0,100.0
Justin Devenny,55,nir NIR,AM,21-065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jefferson Lerma,8,co COL,CM,30-051,90,0,0,0,0,2,0,0,2,0,0,0,0,2,0,1,0.0
Will Hughes,19,eng ENG,CM,29-242,84,0,0,0,3,1,0,2,0,2,0,0,0,3,0,0,
Cheick Doucouré,28,ml MLI,CM,24-342,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tyrick Mitchell,3,eng ENG,WB,25-105,84,0,0,0,1,1,0,2,0,2,0,0,0,6,0,1,0.0
Nathaniel Clyne,17,eng ENG,WB,33-254,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Daniel Muñoz,12,co COL,WB,28-203,90,1,0,0,1,1,0,1,1,1,0,0,0,5,2,2,50.0
Marc Guéhi,6,eng ENG,CB,24-155,90,1,0,0,2,0,0,1,0,0,0,0,1,2,2,0,100.0
Maxence Lacroix,5,fr FRA,CB,24-253,90,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,50.0
Trevoh Chalobah,27,eng ENG,CB,25-163,90,0,0,0,0,1,0,0,2,2,0,0,0,0,1,1,50.0
Dean Henderson,1,eng ENG,GK,27-278,90,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100.0
