Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Jean-Philippe Mateta,14,fr FRA,FW,27-184,90,36,1,1,14,21,5,36,2,1,50.0,1,50.0,18,103,60,4,1,0,1,3,27,4
Eberechi Eze,10,eng ENG,AM,26-183,85,50,0,2,25,23,2,50,2,0,0.0,1,50.0,26,107,31,1,0,1,3,2,30,3
Daichi Kamada,18,jp JPN,AM,28-146,5,11,0,5,3,4,0,11,0,0,,0,,6,35,8,0,0,0,1,0,3,1
Ismaila Sarr,7,sn SEN,AM,26-308,89,50,2,7,25,20,7,50,3,0,0.0,3,100.0,31,144,75,2,1,2,2,4,37,8
Eddie Nketiah,9,eng ENG,AM,25-213,1,1,0,0,0,1,0,1,0,0,,0,,1,0,0,0,0,0,1,0,1,0
Jefferson Lerma,8,co COL,CM,30-065,90,65,2,15,30,21,1,65,0,0,,0,,26,80,19,1,0,0,2,1,37,3
Will Hughes,19,eng ENG,CM,29-256,85,48,2,7,25,16,0,48,0,0,,0,,21,80,32,1,1,0,1,0,27,0
Cheick Doucouré,28,ml MLI,CM,24-356,5,3,1,2,1,0,0,3,0,0,,0,,1,2,2,0,0,0,0,0,1,0
Tyrick Mitchell,3,eng ENG,WB,25-119,90,44,5,12,22,12,0,44,1,1,100.0,0,0.0,23,111,27,1,0,0,2,0,23,3
Daniel Muñoz,12,co COL,WB,28-217,90,47,2,17,14,17,7,47,1,1,100.0,0,0.0,13,92,72,2,1,1,1,0,18,7
Chris Richards,26,us USA,CB,24-276,90,47,5,22,22,3,1,47,1,0,0.0,1,100.0,18,65,5,0,0,0,1,0,22,0
Maxence Lacroix,5,fr FRA,CB,24-267,90,52,10,32,17,3,1,52,0,0,,0,,24,77,37,1,0,0,0,0,31,0
Trevoh Chalobah,27,eng ENG,CB,25-177,90,57,1,28,22,8,2,57,1,1,100.0,0,0.0,28,112,62,2,1,1,1,0,28,1
Dean Henderson,1,eng ENG,GK,27-292,90,44,25,44,0,0,0,44,0,0,,0,,31,177,93,0,0,0,0,0,29,0
