Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jean-Philippe Mateta,14,fr FRA,FW,27-242,90,0,0,0,0,0,1,1,0,2,0,0,0,3,3,4,42.9
Eberechi Eze,10,eng ENG,AM,26-241,90,0,0,0,0,2,3,6,0,4,0,0,0,5,0,1,0.0
Ismaila Sarr,7,sn SEN,AM,27-000,85,0,0,0,1,2,1,0,0,0,0,0,0,4,0,1,0.0
Eddie Nketiah,9,eng ENG,AM,25-271,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,
Will Hughes,19,eng ENG,CM,29-314,57,1,0,0,4,1,0,0,1,2,0,0,0,3,0,0,
Jefferson Lerma,8,co COL,CM,30-123,33,1,0,0,5,0,0,0,1,0,0,0,0,5,1,0,100.0
Adam Wharton,20,eng ENG,CM,20-268,77,0,0,0,1,2,0,1,1,1,0,0,0,7,2,0,100.0
Daichi Kamada,18,jp JPN,CM,28-204,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
Tyrick Mitchell,3,eng ENG,WB,25-177,90,0,0,0,0,1,0,1,1,3,0,0,0,5,0,0,
Daniel Muñoz,12,co COL,WB,28-275,90,1,0,0,6,0,1,3,2,1,0,0,0,7,1,3,25.0
Marc Guéhi,6,eng ENG,CB,24-227,90,0,0,0,1,1,1,0,3,3,0,0,0,3,0,2,0.0
Maxence Lacroix,5,fr FRA,CB,24-325,90,0,0,0,0,0,0,0,1,3,0,0,0,1,1,2,33.3
Chris Richards,26,us USA,CB,24-334,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Dean Henderson,1,eng ENG,GK,27-350,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
