Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jean-Philippe Mateta,14,fr FRA,FW,27-201,79,11,11,0,0,0,0,1,0,0,0,0,0,9,0,0
Eddie Nketiah,9,eng ENG,FW,25-230,11,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Eberechi Eze,10,eng ENG,AM,26-200,78,29,24,4,2,1,0,2,0,1,1,0,0,20,1,0
Justin Devenny,55,nir NIR,AM,21-096,12,5,3,2,0,0,0,1,0,2,1,0,0,3,0,0
Ismaila Sarr,7,sn SEN,AM,26-325,90,37,36,0,0,3,0,1,0,0,0,0,0,23,1,3
Jefferson Lerma,8,co COL,CM,30-082,19,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Cheick Doucouré,28,ml MLI,CM,25-007,71,33,33,0,0,0,0,0,0,0,0,0,0,24,0,0
Will Hughes,19,eng ENG,CM,29-273,61,36,36,0,0,0,0,0,0,0,0,0,0,32,0,0
Daichi Kamada,18,jp JPN,CM,28-163,29,16,15,0,0,0,1,0,0,0,0,0,0,14,1,0
Tyrick Mitchell,3,eng ENG,WB,25-136,79,40,38,2,0,0,0,5,2,0,0,0,0,30,0,2
Nathaniel Clyne,17,eng ENG,WB,33-285,11,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0
Daniel Muñoz,12,co COL,WB,28-234,90,42,36,6,1,0,0,2,5,0,0,0,0,33,0,0
Marc Guéhi,6,eng ENG,CB,24-186,90,66,61,5,2,0,2,0,0,0,0,0,0,55,0,0
Maxence Lacroix,5,fr FRA,CB,24-284,90,60,60,0,0,0,0,0,0,0,0,0,0,54,0,1
Chris Richards,26,us USA,CB,24-293,90,61,60,1,1,0,0,0,0,0,0,0,0,43,0,0
Dean Henderson,1,eng ENG,GK,27-309,90,35,26,9,2,0,0,0,0,0,0,0,0,24,0,0
