Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jean-Philippe Mateta,14,fr FRA,FW,27-204,89,0,0,0,0,2,0,1,0,0,0,0,0,3,1,6,14.3
Jeffrey Schlupp,15,gh GHA,"AM,FW",32-026,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Eberechi Eze,10,eng ENG,AM,26-203,77,0,0,0,0,3,0,5,1,1,0,0,0,4,0,1,0.0
Eddie Nketiah,9,eng ENG,"AM,FW",25-233,13,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,
Ismaila Sarr,7,sn SEN,AM,26-328,67,0,0,0,1,0,0,1,1,0,0,0,0,2,1,1,50.0
Justin Devenny,55,nir NIR,"AM,CM",21-099,23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Daichi Kamada,18,jp JPN,CM,28-166,90,0,0,0,2,1,0,2,2,1,0,0,0,4,0,1,0.0
Will Hughes,19,eng ENG,CM,29-276,89,0,0,0,3,2,0,6,1,2,0,0,0,0,2,1,66.7
Nathaniel Clyne,17,eng ENG,"WB,CM",33-288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tyrick Mitchell,3,eng ENG,WB,25-139,90,0,0,0,0,2,0,3,1,1,0,0,0,2,1,1,50.0
Daniel Muñoz,12,co COL,"WB,AM",28-237,90,0,0,0,1,0,0,0,2,1,0,0,0,4,0,1,0.0
Marc Guéhi,6,eng ENG,CB,24-189,90,0,0,0,0,1,0,0,3,2,0,0,0,9,3,1,75.0
Maxence Lacroix,5,fr FRA,CB,24-287,90,0,0,0,2,1,0,0,3,2,0,0,0,3,1,2,33.3
Chris Richards,26,us USA,CB,24-296,90,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,50.0
Dean Henderson,1,eng ENG,GK,27-312,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
