Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jean-Philippe Mateta,14,fr FRA,FW,27-204,89,14,14,0,0,2,0,1,0,0,0,0,0,11,0,0
Jeffrey Schlupp,15,gh GHA,"AM,FW",32-026,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Eberechi Eze,10,eng ENG,AM,26-203,77,38,32,6,4,2,0,5,0,1,0,0,0,32,0,0
Eddie Nketiah,9,eng ENG,"AM,FW",25-233,13,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1
Ismaila Sarr,7,sn SEN,AM,26-328,67,21,21,0,0,1,0,1,0,0,0,0,0,8,0,0
Justin Devenny,55,nir NIR,"AM,CM",21-099,23,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
Daichi Kamada,18,jp JPN,CM,28-166,90,56,55,1,1,1,0,2,0,0,0,0,0,49,0,1
Will Hughes,19,eng ENG,CM,29-276,89,47,42,5,2,0,0,6,0,3,2,0,0,35,0,1
Nathaniel Clyne,17,eng ENG,"WB,CM",33-288,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Tyrick Mitchell,3,eng ENG,WB,25-139,90,48,35,13,1,0,0,3,12,0,0,0,0,33,0,5
Daniel Muñoz,12,co COL,"WB,AM",28-237,90,43,35,8,0,1,0,0,8,0,0,0,0,35,0,1
Marc Guéhi,6,eng ENG,CB,24-189,90,67,65,2,1,1,0,0,0,0,0,0,0,55,0,0
Maxence Lacroix,5,fr FRA,CB,24-287,90,73,71,2,2,0,0,0,0,0,0,0,0,64,0,1
Chris Richards,26,us USA,CB,24-296,90,58,57,1,1,0,0,0,0,0,0,0,0,52,0,0
Dean Henderson,1,eng ENG,GK,27-312,90,33,27,6,1,0,0,0,0,0,0,0,0,20,0,0
