Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Eddie Nketiah,9,eng ENG,FW,25-282,71,26,1,4,11,12,5,26,1,1,100.0,0,0.0,12,70,21,1,2,1,3,0,14,2
Daichi Kamada,18,jp JPN,AM,28-215,19,12,0,4,4,4,1,12,0,0,,0,,5,22,14,1,0,1,1,0,9,2
Eberechi Eze,10,eng ENG,AM,26-252,89,47,1,4,22,21,3,47,7,4,57.1,2,28.6,33,231,70,2,1,1,2,2,32,6
Romain Esse,21,eng ENG,AM,19-299,1,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Ismaila Sarr,7,sn SEN,"AM,FW",27-011,90,48,4,8,19,21,5,48,4,2,50.0,2,50.0,26,240,146,5,4,0,5,2,34,9
Jefferson Lerma,8,co COL,CM,30-134,90,58,5,16,29,13,1,58,1,0,0.0,0,0.0,24,108,44,0,0,0,1,0,28,1
Adam Wharton,20,eng ENG,CM,20-279,86,65,1,13,30,22,0,65,0,0,,0,,34,173,106,1,2,0,2,0,45,2
Justin Devenny,55,nir NIR,CM,21-148,4,4,0,1,2,1,0,4,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Tyrick Mitchell,3,eng ENG,WB,25-188,71,48,1,17,18,14,2,48,3,1,33.3,2,66.7,23,67,25,1,1,1,1,0,21,4
Ben Chilwell,25,eng ENG,WB,28-077,19,7,0,0,5,2,0,7,0,0,,0,,5,15,6,0,0,0,1,1,5,1
Daniel Muñoz,12,co COL,WB,28-286,90,77,1,23,32,23,4,77,2,1,50.0,1,50.0,32,123,32,1,1,0,3,0,32,9
Marc Guéhi,6,eng ENG,CB,24-238,90,49,5,20,26,3,0,49,1,0,0.0,0,0.0,27,185,90,3,0,0,0,0,29,1
Maxence Lacroix,5,fr FRA,CB,24-336,90,55,12,29,24,2,1,55,0,0,,0,,30,158,54,0,0,0,0,0,33,0
Chris Richards,26,us USA,CB,24-345,90,64,8,33,25,6,2,64,0,0,,0,,32,202,78,2,2,0,0,2,32,0
Dean Henderson,1,eng ENG,GK,27-361,90,47,41,47,0,0,0,47,0,0,,0,,26,103,39,0,0,0,0,0,20,0
