Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jean-Philippe Mateta,14,fr FRA,FW,27-127,90,18,18,0,0,0,0,1,0,0,0,0,0,11,0,0
Eddie Nketiah,9,eng ENG,AM,25-156,83,19,18,1,0,0,0,1,0,0,0,0,0,14,0,2
Nathaniel Clyne,17,eng ENG,WB,33-211,7,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0
Ismaila Sarr,7,sn SEN,AM,26-251,89,21,21,0,0,0,0,3,0,0,0,0,0,15,0,2
Jeffrey Schlupp,15,gh GHA,AM,31-315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daichi Kamada,18,jp JPN,CM,28-089,90,45,41,4,1,0,0,3,0,3,2,0,0,37,0,1
Will Hughes,19,eng ENG,CM,29-199,79,35,30,5,0,0,0,4,0,3,3,0,0,27,0,0
Cheick Doucouré,28,ml MLI,CM,24-299,11,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Tyrick Mitchell,3,eng ENG,WB,25-062,90,47,37,10,2,0,0,8,8,0,0,0,0,35,0,2
Daniel Muñoz,12,co COL,"WB,AM",28-160,90,36,28,8,0,0,0,2,8,0,0,0,0,21,0,1
Marc Guéhi,6,eng ENG,CB,24-112,90,66,62,3,2,0,0,1,1,0,0,0,0,55,1,0
Maxence Lacroix,5,fr FRA,CB,24-210,90,50,47,3,3,0,0,0,0,0,0,0,0,37,0,0
Trevoh Chalobah,27,eng ENG,CB,25-120,90,32,31,1,1,0,0,0,0,0,0,0,0,23,0,1
Dean Henderson,1,eng ENG,GK,27-235,90,28,21,7,2,0,0,0,0,0,0,0,0,18,0,0
