Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Jean-Philippe Mateta,14,fr FRA,FW,27-127,90,29,0,1,13,15,3,29,1,0,0.0,1,100.0,8,33,17,1,0,0,2,2,22,4
Eddie Nketiah,9,eng ENG,AM,25-156,83,37,1,2,13,22,4,37,5,2,40.0,3,60.0,18,141,81,5,2,3,3,0,22,8
Nathaniel Clyne,17,eng ENG,WB,33-211,7,5,0,2,3,0,0,5,0,0,,0,,2,10,0,0,0,0,1,2,1,0
Ismaila Sarr,7,sn SEN,AM,26-251,89,43,2,2,11,30,8,43,2,1,50.0,1,50.0,15,96,73,3,2,1,4,1,25,5
Jeffrey Schlupp,15,gh GHA,AM,31-315,1,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Daichi Kamada,18,jp JPN,CM,28-089,90,59,1,8,35,16,3,59,1,0,0.0,1,100.0,26,151,72,1,2,0,1,6,35,1
Will Hughes,19,eng ENG,CM,29-199,79,40,0,9,20,11,1,40,2,0,0.0,2,100.0,22,144,72,3,1,0,0,2,21,0
Cheick Doucouré,28,ml MLI,CM,24-299,11,4,0,0,4,0,0,4,0,0,,0,,3,2,1,0,0,0,0,0,3,0
Tyrick Mitchell,3,eng ENG,WB,25-062,90,53,2,10,26,20,1,53,0,0,,0,,25,150,99,1,0,0,0,1,28,8
Daniel Muñoz,12,co COL,"WB,AM",28-160,90,51,2,7,20,25,3,51,2,1,50.0,1,50.0,15,60,24,0,1,0,3,1,24,4
Marc Guéhi,6,eng ENG,CB,24-112,90,82,10,27,51,4,2,82,1,1,100.0,0,0.0,39,192,113,0,0,0,1,0,51,1
Maxence Lacroix,5,fr FRA,CB,24-210,90,61,5,35,26,1,0,61,4,2,50.0,1,25.0,30,157,88,1,0,0,3,0,32,0
Trevoh Chalobah,27,eng ENG,CB,25-120,90,51,6,24,24,4,3,51,3,2,66.7,0,0.0,17,99,67,2,0,0,0,0,23,0
Dean Henderson,1,eng ENG,GK,27-235,90,30,24,30,0,0,0,30,0,0,,0,,21,187,83,0,0,0,0,0,10,0
