Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jean-Philippe Mateta,14,fr FRA,FW,27-155,90,14,14,0,0,0,0,1,0,0,0,0,0,7,0,0
Eberechi Eze,10,eng ENG,AM,26-154,64,26,22,4,1,0,0,5,0,2,2,0,0,18,0,2
Justin Devenny,55,nir NIR,"DM,AM,CM",21-050,26,26,23,3,0,0,0,4,0,3,2,1,0,17,0,0
Ismaila Sarr,7,sn SEN,AM,26-279,90,17,17,0,0,1,0,1,0,0,0,0,0,15,0,0
Jefferson Lerma,8,co COL,"CM,DM",30-036,90,50,48,2,1,0,0,0,1,0,0,0,0,39,0,2
Will Hughes,19,eng ENG,CM,29-227,76,43,37,6,2,0,0,3,0,3,1,0,0,40,0,0
Eddie Nketiah,9,eng ENG,"LW,AM",25-184,14,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Tyrick Mitchell,3,eng ENG,"WB,LB",25-090,90,42,31,11,1,0,0,3,10,0,0,0,0,34,0,2
Daniel Muñoz,12,co COL,"WB,RB",28-188,90,47,35,11,1,0,0,3,10,0,0,0,0,36,1,1
Marc Guéhi,6,eng ENG,CB,24-140,90,54,50,3,2,1,0,1,0,0,0,0,0,44,1,0
Maxence Lacroix,5,fr FRA,CB,24-238,90,46,45,1,1,0,0,0,0,0,0,0,0,38,0,1
Trevoh Chalobah,27,eng ENG,CB,25-148,83,50,49,1,0,1,0,1,1,0,0,0,0,41,0,2
Jeffrey Schlupp,15,gh GHA,RW,31-343,7,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Dean Henderson,1,eng ENG,GK,27-263,90,30,24,6,4,0,0,0,0,0,0,0,0,19,0,0
