Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Eddie Nketiah,9,eng ENG,FW,25-144,65,1,0,0,0,1,0,2,0.0,2,0,0,0,0,1,0,0
Jean-Philippe Mateta,14,fr FRA,FW,27-115,25,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
Eberechi Eze,10,eng ENG,"FW,AM",26-114,90,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0
Tyrick Mitchell,3,eng ENG,LW,25-050,73,3,2,2,0,1,2,2,100.0,0,4,0,4,0,3,0,0
Jeffrey Schlupp,15,gh GHA,WB,31-303,17,2,0,1,0,1,0,0,,0,1,0,1,0,2,0,0
Daniel Muñoz,12,co COL,"RW,WB",28-148,90,4,4,3,0,1,2,5,40.0,3,1,0,1,1,5,6,0
Daichi Kamada,18,jp JPN,CM,28-077,87,3,1,2,1,0,0,0,,0,1,0,1,0,3,0,0
Asher Agbinone,64,eng ENG,CM,19-023,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Will Hughes,19,eng ENG,CM,29-187,73,3,2,0,3,0,1,5,20.0,4,4,2,2,1,4,1,0
Ismaila Sarr,7,sn SEN,AM,26-239,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jefferson Lerma,8,co COL,"DM,CM",29-362,90,0,0,0,0,0,0,1,0.0,1,4,3,1,1,1,2,0
Marc Guéhi,6,eng ENG,CB,24-100,90,3,2,2,1,0,2,3,66.7,1,0,0,0,1,4,2,0
Maxence Lacroix,5,fr FRA,CB,24-198,90,0,0,0,0,0,0,2,0.0,2,2,1,1,1,1,7,0
Trevoh Chalobah,27,eng ENG,CB,25-108,90,2,2,0,2,0,1,3,33.3,2,4,3,1,0,2,6,1
Dean Henderson,1,eng ENG,GK,27-223,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
