Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Jean-Philippe Mateta,14,fr FRA,FW,27-092,90,23,0,3,9,11,5,23,0,0,,0,,11,55,7,1,0,2,1,0,19,7
Eberechi Eze,10,eng ENG,LW,26-091,90,57,1,12,25,21,1,57,2,0,0.0,2,100.0,33,178,85,2,3,0,3,2,40,3
Eddie Nketiah,9,eng ENG,"RW,AM",25-121,72,27,1,2,14,11,3,27,1,1,100.0,0,0.0,22,104,40,1,1,0,1,3,23,5
Jeffrey Schlupp,15,gh GHA,AM,31-280,18,8,0,0,3,5,1,8,0,0,,0,,5,13,3,0,0,0,1,0,6,2
Tyrick Mitchell,3,eng ENG,"LM,LB",25-027,90,66,2,28,27,11,2,66,0,0,,0,,30,102,56,4,1,1,1,1,36,12
Daichi Kamada,18,jp JPN,CM,28-054,61,47,0,12,24,11,2,47,0,0,,0,,25,120,73,1,2,0,0,1,33,1
Ismaila Sarr,7,sn SEN,RW,26-216,29,9,0,0,4,5,0,9,0,0,,0,,9,40,1,0,0,0,1,2,10,5
Adam Wharton,20,eng ENG,"CM,DM",20-118,88,82,2,17,43,22,1,82,1,1,100.0,0,0.0,44,209,141,2,2,0,1,2,53,1
Will Hughes,19,eng ENG,DM,29-164,2,6,0,0,2,4,0,6,0,0,,0,,2,24,23,1,0,0,1,0,2,0
Daniel Muñoz,12,co COL,"RM,RB",28-125,90,70,3,14,35,21,8,70,1,1,100.0,0,0.0,33,172,100,3,1,1,1,0,41,11
Jefferson Lerma,8,co COL,"CB,DM",29-339,90,85,6,35,40,11,1,85,0,0,,0,,52,156,85,0,0,0,1,1,61,4
Marc Guéhi,6,eng ENG,CB,24-077,90,99,21,59,39,3,1,99,1,1,100.0,0,0.0,53,250,141,1,2,0,0,0,62,0
Maxence Lacroix,5,fr FRA,CB,24-175,90,84,6,44,37,3,2,84,1,1,100.0,0,0.0,50,207,126,1,0,0,2,0,58,0
Dean Henderson,1,eng ENG,GK,27-200,90,21,17,20,0,1,1,21,0,0,,0,,14,83,46,0,0,0,0,0,11,0
