Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Armando Broja,22,al ALB,FW,23-214,63,19,19,0,0,0,0,0,0,0,0,0,0,15,0,0
Beto,14,gw GNB,FW,27-071,27,7,7,0,0,0,0,0,0,0,0,0,0,3,0,2
Iliman Ndiaye,10,sn SEN,LW,25-037,66,20,20,0,0,0,0,0,0,0,0,0,0,15,0,1
Carlos Alcaraz,24,ar ARG,LW,22-133,24,12,12,0,0,0,0,0,0,0,0,0,0,9,0,1
Jack Harrison,11,eng ENG,RW,28-143,89,42,35,7,2,0,0,14,0,5,5,0,0,24,0,1
Dwight McNeil,7,eng ENG,RW,25-141,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Abdoulaye Doucouré,16,ml MLI,AM,32-101,90,39,38,0,0,0,0,1,0,0,0,0,0,35,1,0
James Garner,37,eng ENG,DM,24-030,90,52,45,7,2,0,0,4,2,2,2,0,0,43,0,3
Idrissa Gana Gueye,27,sn SEN,DM,35-198,90,50,50,0,0,0,2,1,0,0,0,0,0,45,0,0
Vitaliy Mykolenko,19,ua UKR,LB,25-318,90,66,59,7,0,1,0,3,7,0,0,0,0,58,0,0
Jarrad Branthwaite,32,eng ENG,CB,22-289,90,55,52,3,3,0,2,0,0,0,0,0,0,43,0,0
James Tarkowski,6,eng ENG,CB,32-144,90,46,40,6,3,1,0,0,1,0,0,0,0,35,0,0
Jake O'Brien,15,ie IRL,RB,23-332,90,43,36,7,0,0,0,1,7,0,0,0,0,34,0,1
Jordan Pickford,1,eng ENG,GK,31-036,90,39,35,4,1,0,1,0,0,0,0,0,0,27,0,0
