Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Armando Broja,22,al ALB,FW,23-214,63,25,0,2,8,17,5,25,2,2,100.0,0,0.0,14,102,33,2,2,0,3,3,20,7
Beto,14,gw GNB,FW,27-071,27,11,0,0,6,5,2,11,0,0,,0,,5,12,3,0,0,1,2,0,9,4
Iliman Ndiaye,10,sn SEN,LW,25-037,66,34,0,4,13,17,5,34,3,0,0.0,3,100.0,24,145,77,3,1,2,2,1,25,4
Carlos Alcaraz,24,ar ARG,LW,22-133,24,16,1,1,6,9,2,16,1,1,100.0,0,0.0,11,73,24,0,1,1,1,0,11,0
Jack Harrison,11,eng ENG,RW,28-143,89,59,1,4,19,36,2,59,4,1,25.0,2,50.0,29,244,100,7,2,0,5,0,40,12
Dwight McNeil,7,eng ENG,RW,25-141,1,2,0,0,2,1,0,2,0,0,,0,,1,28,26,1,1,0,0,0,0,0
Abdoulaye Doucouré,16,ml MLI,AM,32-101,90,53,0,6,23,24,4,53,3,0,0.0,3,100.0,35,134,50,1,1,1,2,1,39,8
James Garner,37,eng ENG,DM,24-030,90,61,3,11,31,19,1,61,0,0,,0,,31,169,59,0,1,0,0,1,37,5
Idrissa Gana Gueye,27,sn SEN,DM,35-198,90,62,3,8,40,14,0,62,0,0,,0,,31,114,45,1,2,0,2,1,34,0
Vitaliy Mykolenko,19,ua UKR,LB,25-318,90,72,1,14,40,18,0,72,0,0,,0,,38,218,109,1,1,0,1,0,54,4
Jarrad Branthwaite,32,eng ENG,CB,22-289,90,64,4,25,39,1,1,64,0,0,,0,,27,233,164,1,0,0,1,0,34,0
James Tarkowski,6,eng ENG,CB,32-144,90,55,4,27,24,4,4,55,0,0,,0,,23,186,144,0,0,0,1,0,26,0
Jake O'Brien,15,ie IRL,RB,23-332,90,50,2,14,29,7,2,50,1,1,100.0,0,0.0,21,91,40,1,0,1,0,0,29,1
Jordan Pickford,1,eng ENG,GK,31-036,90,40,23,40,0,0,0,40,0,0,,0,,26,195,135,0,0,0,0,0,24,0
