Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Beto,14,gw GNB,FW,27-061,78,1,0,0,3,0,2,0,1,0,0,0,0,1,6,4,60.0
Armando Broja,22,al ALB,FW,23-204,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,25.0
Carlos Alcaraz,24,ar ARG,"LW,RW",22-123,77,0,0,0,1,1,0,2,1,1,0,0,0,4,1,1,50.0
Ashley Young,18,eng ENG,RW,39-267,13,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,100.0
Jack Harrison,11,eng ENG,RW,28-133,68,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0.0
Iliman Ndiaye,10,sn SEN,LW,25-027,22,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
Abdoulaye Doucouré,16,ml MLI,AM,32-091,85,0,0,0,0,0,0,1,0,2,0,0,0,5,0,0,
Youssef Chermiti,17,pt POR,AM,20-313,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
James Garner,37,eng ENG,DM,24-020,77,0,0,0,3,1,0,4,4,1,0,0,0,6,0,0,
Tim Iroegbunam,42,eng ENG,DM,21-276,13,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,100.0
Idrissa Gana Gueye,27,sn SEN,DM,35-188,90,0,0,0,0,3,0,0,1,2,0,0,0,8,4,0,100.0
Vitaliy Mykolenko,19,ua UKR,LB,25-308,90,0,0,0,0,0,0,4,1,4,0,0,0,2,2,1,66.7
Jarrad Branthwaite,32,eng ENG,CB,22-279,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7
James Tarkowski,6,eng ENG,CB,32-134,90,1,0,0,2,1,1,0,3,1,0,0,0,2,4,3,57.1
Jake O'Brien,15,ie IRL,RB,23-322,90,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,100.0
Jordan Pickford,1,eng ENG,GK,31-026,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
