Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Dominic Calvert-Lewin,9,eng ENG,FW,27-154,75,0,0,0,0,1,2,0,0,0,0,0,0,0,3,4,42.9
Beto,14,gw GNB,FW,26-199,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Dwight McNeil,7,eng ENG,"LW,RB,RW",24-269,90,0,0,0,1,0,0,5,2,1,0,0,0,4,0,0,
Jack Harrison,11,eng ENG,RW,27-271,84,0,0,0,0,1,1,4,0,0,0,0,0,2,0,2,0.0
Mason Holgate,4,jm JAM,"RW,RB",27-300,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Abdoulaye Doucouré,16,ml MLI,AM,31-229,62,0,0,0,0,0,4,2,0,0,0,0,0,1,3,1,75.0
Iliman Ndiaye,10,sn SEN,"LW,AM",24-164,28,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,
Idrissa Gana Gueye,27,sn SEN,DM,34-326,90,0,0,0,1,1,0,0,0,1,0,0,0,4,2,0,100.0
Tim Iroegbunam,42,eng ENG,DM,21-048,90,0,0,0,2,1,0,0,4,5,0,0,0,13,1,1,50.0
Vitaliy Mykolenko,19,ua UKR,LB,25-080,90,0,0,0,0,2,0,3,1,0,0,0,0,5,1,1,50.0
Michael Keane,5,eng ENG,CB,31-219,90,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,100.0
James Tarkowski,6,eng ENG,CB,31-272,90,1,0,0,2,0,0,0,4,1,0,0,0,5,1,2,33.3
Ashley Young,18,eng ENG,RB,39-039,65,0,1,0,1,2,0,3,2,1,0,0,0,4,0,1,0.0
Jordan Pickford,1,eng ENG,GK,30-163,90,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
