Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Dominic Calvert-Lewin,9,eng ENG,FW,27-154,75,19,0,0,9,10,3,19,0,0,,0,,12,55,25,1,0,1,3,0,15,4
Beto,14,gw GNB,FW,26-199,15,8,0,0,7,1,0,8,1,0,0.0,1,100.0,5,14,8,0,0,0,1,0,6,0
Dwight McNeil,7,eng ENG,"LW,RB,RW",24-269,90,37,2,5,21,11,0,37,0,0,,0,,22,83,0,0,0,0,0,1,23,5
Jack Harrison,11,eng ENG,RW,27-271,84,36,1,4,10,22,6,36,5,3,60.0,2,40.0,25,137,90,4,0,2,3,1,28,9
Mason Holgate,4,jm JAM,"RW,RB",27-300,6,3,0,0,2,1,0,3,0,0,,0,,1,0,0,0,0,0,1,0,1,0
Abdoulaye Doucouré,16,ml MLI,AM,31-229,62,21,0,2,12,7,1,21,1,1,100.0,0,0.0,10,73,49,2,0,0,0,1,16,4
Iliman Ndiaye,10,sn SEN,"LW,AM",24-164,28,9,0,4,4,2,1,9,1,0,0.0,1,100.0,5,39,19,1,0,0,1,0,4,0
Idrissa Gana Gueye,27,sn SEN,DM,34-326,90,45,1,6,31,8,1,45,2,0,0.0,2,100.0,22,107,48,1,0,0,0,2,27,1
Tim Iroegbunam,42,eng ENG,DM,21-048,90,47,3,9,24,15,3,47,2,1,50.0,1,50.0,26,139,69,1,2,1,1,5,18,1
Vitaliy Mykolenko,19,ua UKR,LB,25-080,90,52,2,17,25,11,1,52,3,0,0.0,3,100.0,23,95,30,1,1,0,1,0,24,2
Michael Keane,5,eng ENG,CB,31-219,90,57,8,22,33,2,1,57,0,0,,0,,31,106,24,0,0,0,0,0,41,0
James Tarkowski,6,eng ENG,CB,31-272,90,68,8,34,32,3,1,68,1,0,0.0,1,100.0,33,204,50,1,2,0,1,0,43,0
Ashley Young,18,eng ENG,RB,39-039,65,46,1,9,25,12,0,46,0,0,,0,,15,66,29,0,1,0,1,0,15,1
Jordan Pickford,1,eng ENG,GK,30-163,90,51,26,48,3,0,0,51,0,0,,0,,33,234,151,0,0,0,0,0,30,0
