Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Armando Broja,22,al ALB,FW,23-110,74,31,2,3,10,18,4,31,1,0,0.0,1,100.0,13,73,30,1,1,0,5,3,24,6
Beto,14,gw GNB,FW,26-333,16,6,0,1,0,5,2,6,0,0,,0,,2,21,20,0,0,0,1,0,3,2
Iliman Ndiaye,10,sn SEN,"LW,LM",24-298,90,55,0,4,20,31,3,55,8,4,50.0,4,50.0,39,308,87,3,2,0,5,1,48,11
Jack Harrison,11,eng ENG,RW,28-039,45,24,0,1,12,12,3,24,1,0,0.0,0,0.0,15,82,57,2,0,0,0,0,20,1
Jesper Lindstrøm,29,dk DEN,"RM,RW",24-304,45,32,0,1,7,25,1,32,3,2,66.7,1,33.3,21,75,13,0,0,0,3,1,24,8
Abdoulaye Doucouré,16,ml MLI,"LM,CM",31-363,90,54,0,8,22,24,3,54,0,0,,0,,28,155,92,3,4,0,2,2,39,5
Idrissa Gana Gueye,27,sn SEN,CM,35-094,67,39,1,3,28,8,0,39,1,0,0.0,1,100.0,18,74,53,0,2,0,0,0,24,2
Dominic Calvert-Lewin,9,eng ENG,FW,27-288,23,10,0,0,2,8,4,10,0,0,,0,,7,34,5,0,0,0,0,1,10,3
Orel Mangala,8,be BEL,"RM,CM",26-286,90,68,2,7,38,23,2,68,4,3,75.0,1,25.0,41,214,67,1,1,1,2,1,54,4
Vitaliy Mykolenko,19,ua UKR,LB,25-214,90,65,2,12,29,24,1,65,1,1,100.0,0,0.0,31,219,150,4,1,0,1,1,38,9
Jarrad Branthwaite,32,eng ENG,CB,22-185,90,73,3,22,47,4,2,73,0,0,,0,,38,306,169,2,2,1,1,0,45,0
James Tarkowski,6,eng ENG,CB,32-040,90,76,2,29,43,5,1,76,1,1,100.0,0,0.0,38,246,182,2,1,0,1,0,38,0
Ashley Young,18,eng ENG,RB,39-173,67,52,2,16,24,12,0,52,0,0,,0,,11,65,37,0,0,0,1,0,24,1
Nathan Patterson,2,sct SCO,RB,23-074,23,28,0,2,9,17,1,28,1,1,100.0,0,0.0,12,60,35,2,0,0,1,0,18,3
Jordan Pickford,1,eng ENG,GK,30-297,90,54,26,52,2,0,0,54,0,0,,0,,32,186,148,0,0,0,0,0,25,0
