Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Dominic Calvert-Lewin,9,eng ENG,FW,27-263,82,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
Armando Broja,22,al ALB,FW,23-085,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dwight McNeil,7,eng ENG,LW,25-012,73,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jack Harrison,11,eng ENG,"RW,AM",28-014,17,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Iliman Ndiaye,10,sn SEN,"RW,LW",24-273,90,3,1,1,1,1,0,3,0.0,3,0,0,0,1,4,0,0
Abdoulaye Doucouré,16,ml MLI,AM,31-338,82,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0
Jesper Lindstrøm,29,dk DEN,"AM,RW",24-279,8,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Orel Mangala,8,be BEL,DM,26-261,88,0,0,0,0,0,0,0,,0,3,1,2,1,1,3,0
Harrison Armstrong,45,eng ENG,DM,17-320,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Idrissa Gana Gueye,27,sn SEN,DM,35-069,90,3,2,0,3,0,2,3,66.7,1,1,0,1,1,4,0,0
Vitaliy Mykolenko,19,ua UKR,LB,25-189,90,1,0,0,0,1,1,1,100.0,0,1,0,1,1,2,5,0
Jarrad Branthwaite,32,eng ENG,CB,22-160,90,2,2,2,0,0,1,1,100.0,0,1,0,1,4,6,4,0
James Tarkowski,6,eng ENG,CB,32-015,90,2,1,2,0,0,1,1,100.0,0,1,0,1,1,3,9,0
Ashley Young,18,eng ENG,RB,39-148,90,7,4,3,4,0,6,8,75.0,2,1,1,0,4,11,6,0
Jordan Pickford,1,eng ENG,GK,30-272,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
