Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Beto,14,gw GNB,FW,27-015,90,0,0,0,2,2,1,1,1,0,0,0,0,4,13,7,65.0
Jack Harrison,11,eng ENG,LW,28-087,90,0,0,0,1,1,0,6,0,0,0,0,0,4,0,3,0.0
Jesper Lindstrøm,29,dk DEN,RW,24-352,78,0,0,0,2,0,0,3,1,1,0,0,0,6,0,1,0.0
Ashley Young,18,eng ENG,RW,39-221,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Carlos Alcaraz,24,ar ARG,AM,22-077,85,0,0,0,2,1,0,0,0,0,0,0,0,3,1,1,50.0
Tim Iroegbunam,42,eng ENG,AM,21-230,5,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,100.0
Idrissa Gana Gueye,27,sn SEN,DM,35-142,90,0,0,0,2,0,0,0,1,2,0,0,0,7,0,3,0.0
James Garner,37,eng ENG,DM,23-339,90,1,0,0,2,1,0,4,1,0,0,0,0,5,2,1,66.7
Vitaliy Mykolenko,19,ua UKR,LB,25-262,90,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,66.7
Jarrad Branthwaite,32,eng ENG,CB,22-233,90,0,0,0,1,1,0,0,2,1,0,0,0,2,2,2,50.0
James Tarkowski,6,eng ENG,CB,32-088,90,0,0,0,0,1,0,0,5,1,0,0,0,0,5,1,83.3
Jake O'Brien,15,ie IRL,RB,23-276,90,0,0,0,0,1,0,1,0,0,0,0,0,5,6,2,75.0
Jordan Pickford,1,eng ENG,GK,30-345,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
