Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Beto,14,gw GNB,FW,27-043,78,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Armando Broja,22,al ALB,FW,23-186,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Carlos Alcaraz,24,ar ARG,"LW,LM,AM",22-105,90,3,2,1,1,1,1,3,33.3,2,0,0,0,1,4,0,0
Jack Harrison,11,eng ENG,"RW,LW",28-115,78,2,2,2,0,0,1,3,33.3,2,1,0,1,0,2,1,0
Youssef Chermiti,17,pt POR,FW,20-295,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Abdoulaye Doucouré,16,ml MLI,AM,32-073,67,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Jesper Lindstrøm,29,dk DEN,"RM,RW",25-014,23,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
James Garner,37,eng ENG,DM,24-002,78,2,1,1,1,0,0,0,,0,4,0,4,2,4,3,0
Tim Iroegbunam,42,eng ENG,CM,21-258,12,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Idrissa Gana Gueye,27,sn SEN,"DM,CM",35-170,90,4,1,1,1,2,1,3,33.3,2,1,1,0,2,6,1,0
Vitaliy Mykolenko,19,ua UKR,LB,25-290,90,0,0,0,0,0,0,1,0.0,1,3,0,3,2,2,5,0
Jarrad Branthwaite,32,eng ENG,CB,22-261,90,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,9,0
James Tarkowski,6,eng ENG,CB,32-116,90,2,2,1,1,0,1,1,100.0,0,1,0,1,0,2,3,0
Jake O'Brien,15,ie IRL,RB,23-304,90,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,2,0
Jordan Pickford,1,eng ENG,GK,31-008,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
