Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Dominic Calvert-Lewin,9,eng ENG,FW,27-231,61,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Beto,14,gw GNB,FW,26-276,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Iliman Ndiaye,10,sn SEN,LW,24-241,61,2,1,1,0,1,0,0,,0,0,0,0,1,3,0,0
Jack Harrison,11,eng ENG,"AM,RM,LW",27-348,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jesper Lindstrøm,29,dk DEN,RW,24-247,87,3,0,2,1,0,2,6,33.3,4,1,0,1,1,4,1,0
Jarrad Branthwaite,32,eng ENG,CB,22-128,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dwight McNeil,7,eng ENG,"AM,LW,LM",24-346,90,1,0,1,0,0,1,3,33.3,2,1,0,1,0,1,0,0
Orel Mangala,8,be BEL,"DM,CM",26-229,90,2,1,0,2,0,1,2,50.0,1,0,0,0,1,3,1,0
Idrissa Gana Gueye,27,sn SEN,"DM,CM",35-037,90,6,1,4,0,2,4,5,80.0,1,1,0,1,1,7,2,0
Vitaliy Mykolenko,19,ua UKR,LB,25-157,90,3,2,2,1,0,1,1,100.0,0,0,0,0,1,4,3,0
Michael Keane,5,eng ENG,"CB,FW",31-296,90,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,3,0
James Tarkowski,6,eng ENG,CB,31-349,90,2,2,0,2,0,1,3,33.3,2,2,1,1,0,2,5,0
Ashley Young,18,eng ENG,RB,39-116,90,1,0,1,0,0,1,3,33.3,2,0,0,0,2,3,1,0
Jordan Pickford,1,eng ENG,GK,30-240,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
