Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Dominic Calvert-Lewin,9,eng ENG,FW,27-252,90,21,1,1,7,13,8,21,1,0,0.0,1,100.0,14,101,44,4,1,3,1,1,20,5
Iliman Ndiaye,10,sn SEN,"LW,RW",24-262,90,53,0,4,13,37,9,53,5,4,80.0,0,0.0,26,182,119,4,2,2,3,0,32,13
Jesper Lindstrøm,29,dk DEN,RW,24-268,71,38,1,4,8,27,2,38,1,0,0.0,1,100.0,19,160,123,5,2,0,1,2,26,7
Beto,14,gw GNB,AM,26-297,19,10,0,0,3,7,5,10,1,1,100.0,0,0.0,5,28,2,0,1,0,0,1,10,5
Dwight McNeil,7,eng ENG,"AM,LW",25-001,90,76,0,4,24,50,1,76,5,2,40.0,3,60.0,49,360,209,6,6,1,2,3,54,10
Idrissa Gana Gueye,27,sn SEN,DM,35-058,90,89,1,12,40,37,1,89,1,1,100.0,0,0.0,43,268,145,4,2,1,2,2,61,3
Abdoulaye Doucouré,16,ml MLI,DM,31-327,71,38,0,8,16,14,1,38,0,0,,0,,26,101,45,0,0,0,1,2,28,2
Orel Mangala,8,be BEL,DM,26-250,19,20,0,0,11,9,0,20,0,0,,0,,13,77,39,0,1,0,1,1,18,2
Vitaliy Mykolenko,19,ua UKR,LB,25-178,90,69,1,11,21,37,4,69,1,1,100.0,0,0.0,30,175,110,2,2,0,0,1,41,7
Jarrad Branthwaite,32,eng ENG,CB,22-149,90,64,4,26,33,6,2,64,0,0,,0,,28,221,176,1,3,0,1,0,42,0
James Tarkowski,6,eng ENG,CB,32-004,90,65,12,28,28,9,3,65,1,1,100.0,0,0.0,23,109,57,0,1,0,0,0,37,1
Ashley Young,18,eng ENG,RB,39-137,90,72,2,13,19,40,0,72,0,0,,0,,35,252,171,5,8,0,0,0,54,3
Jordan Pickford,1,eng ENG,GK,30-261,90,33,19,30,3,0,0,33,0,0,,0,,18,164,114,0,0,0,0,0,16,0
