Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Dominic Calvert-Lewin,9,eng ENG,FW,27-238,74,0,0,0,1,1,0,1,1,1,0,0,0,2,3,3,50.0
Beto,14,gw GNB,FW,26-283,16,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,40.0
Iliman Ndiaye,10,sn SEN,LW,24-248,90,0,0,0,1,1,1,1,2,2,0,0,0,10,0,1,0.0
Jesper Lindstrøm,29,dk DEN,RW,24-254,90,0,0,0,0,0,0,10,1,0,0,0,0,3,1,0,100.0
Abdoulaye Doucouré,16,ml MLI,AM,31-313,85,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0.0
Jack Harrison,11,eng ENG,AM,27-355,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Orel Mangala,8,be BEL,DM,26-236,90,0,0,0,1,3,0,0,0,1,0,0,0,3,0,3,0.0
Idrissa Gana Gueye,27,sn SEN,DM,35-044,90,1,0,0,2,1,0,2,0,2,0,0,0,5,1,0,100.0
Vitaliy Mykolenko,19,ua UKR,LB,25-164,90,0,0,0,2,0,0,4,0,0,0,0,0,4,3,0,100.0
Jarrad Branthwaite,32,eng ENG,CB,22-135,90,0,0,0,0,0,0,0,1,0,0,0,0,2,2,4,33.3
James Tarkowski,6,eng ENG,CB,31-356,90,0,0,0,1,0,0,0,2,1,0,0,0,6,5,2,71.4
Ashley Young,18,eng ENG,RB,39-123,90,1,0,0,1,3,0,8,1,1,0,0,0,2,1,0,100.0
Jordan Pickford,1,eng ENG,GK,30-247,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
