Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Dominic Calvert-Lewin,9,eng ENG,FW,27-203,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Iliman Ndiaye,10,sn SEN,LW,24-213,90,1,0,1,0,0,1,1,100.0,0,2,1,1,0,1,0,0
Jack Harrison,11,eng ENG,RW,27-320,67,1,0,1,0,0,0,2,0.0,2,1,0,1,1,2,0,0
Tim Iroegbunam,42,eng ENG,DM,21-097,23,1,0,0,1,0,1,2,50.0,1,1,0,1,0,1,1,0
Dwight McNeil,7,eng ENG,"AM,RW",24-318,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Orel Mangala,8,be BEL,DM,26-201,56,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0
Idrissa Gana Gueye,27,sn SEN,DM,35-009,34,1,1,1,0,0,0,0,,0,1,1,0,1,2,1,0
Abdoulaye Doucouré,16,ml MLI,"DM,AM",31-278,90,3,2,1,2,0,0,0,,0,2,0,2,0,3,0,0
Ashley Young,18,eng ENG,LB,39-088,90,2,1,0,1,1,1,3,33.3,2,0,0,0,1,3,4,0
Michael Keane,5,eng ENG,CB,31-268,90,0,0,0,0,0,0,0,,0,0,0,0,3,3,8,0
James Tarkowski,6,eng ENG,CB,31-321,90,4,3,1,2,1,2,2,100.0,0,2,2,0,0,4,10,0
James Garner,37,eng ENG,RB,23-206,90,5,4,2,3,0,4,5,80.0,1,0,0,0,2,7,2,0
Jordan Pickford,1,eng ENG,GK,30-212,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
