Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Rodrigo Muniz,9,br BRA,FW,23-345,56,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,100.0
Raúl Jiménez,7,mx MEX,FW,33-344,34,0,0,0,0,0,0,1,0,1,0,0,0,4,0,3,0.0
Alex Iwobi,17,ng NGA,"LW,DM",28-346,90,0,0,0,0,0,0,6,1,1,0,0,0,0,1,1,50.0
Ryan Sessegnon,30,eng ENG,RW,24-331,56,0,0,0,3,0,0,0,0,1,0,0,0,3,1,1,50.0
Adama Traoré,11,es ESP,RW,29-079,34,0,0,0,1,0,0,2,0,2,0,0,0,2,1,3,25.0
Andreas Pereira,18,br BRA,AM,29-103,68,0,0,0,0,1,0,8,0,0,0,0,0,5,0,2,0.0
Emile Smith Rowe,32,eng ENG,AM,24-260,22,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
Saša Lukić,20,rs SRB,DM,28-244,84,0,0,0,1,1,0,1,1,2,0,0,0,3,0,3,0.0
Willian,22,br BRA,LW,36-248,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
Sander Berge,16,no NOR,DM,27-059,58,0,0,0,0,2,0,0,1,0,0,0,0,5,0,2,0.0
Tom Cairney,10,sct SCO,DM,34-084,32,1,0,0,1,1,0,4,0,0,0,0,0,6,0,1,0.0
Antonee Robinson,33,us USA,LB,27-249,90,1,0,0,1,0,1,6,2,1,0,0,0,6,2,2,50.0
Calvin Bassey,3,ng NGA,CB,25-104,90,0,0,0,1,1,0,0,0,1,0,0,0,3,4,1,80.0
Joachim Andersen,5,dk DEN,CB,28-318,90,0,0,0,0,2,0,0,2,0,0,0,0,6,1,4,20.0
Timothy Castagne,21,be BEL,RB,29-130,90,0,0,0,2,0,0,0,2,1,0,0,0,3,6,4,60.0
Bernd Leno,1,de GER,GK,33-041,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
