Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Rodrigo Muniz,9,br BRA,FW,23-345,56,10,2,2,4,4,3,10,0,0,,0,,3,23,18,1,0,1,0,0,7,0
Raúl Jiménez,7,mx MEX,FW,33-344,34,16,0,1,4,11,3,16,0,0,,0,,8,17,7,0,0,0,2,2,13,4
Alex Iwobi,17,ng NGA,"LW,DM",28-346,90,53,0,0,28,25,2,53,2,1,50.0,1,50.0,32,165,102,4,1,1,0,1,40,7
Ryan Sessegnon,30,eng ENG,RW,24-331,56,33,4,5,11,18,9,33,1,0,0.0,1,100.0,16,105,21,1,0,0,7,0,18,5
Adama Traoré,11,es ESP,RW,29-079,34,21,0,0,11,10,1,21,2,2,100.0,0,0.0,6,52,9,0,0,0,0,1,11,3
Andreas Pereira,18,br BRA,AM,29-103,68,31,0,5,12,16,2,31,2,1,50.0,1,50.0,18,170,101,4,2,1,0,0,23,4
Emile Smith Rowe,32,eng ENG,AM,24-260,22,23,0,1,14,8,1,23,0,0,,0,,11,35,22,0,1,0,0,0,18,3
Saša Lukić,20,rs SRB,DM,28-244,84,55,2,10,33,13,2,55,4,2,50.0,1,25.0,26,125,75,2,2,0,2,0,33,1
Willian,22,br BRA,LW,36-248,6,11,0,0,2,9,0,11,0,0,,0,,7,38,24,0,1,0,0,0,9,2
Sander Berge,16,no NOR,DM,27-059,58,44,1,8,29,8,1,44,3,1,33.3,1,33.3,31,227,154,4,1,0,1,2,31,0
Tom Cairney,10,sct SCO,DM,34-084,32,50,1,6,24,21,4,50,0,0,,0,,26,102,45,0,0,0,0,1,35,7
Antonee Robinson,33,us USA,LB,27-249,90,74,4,20,24,30,5,74,2,0,0.0,2,100.0,35,184,101,3,0,3,2,0,39,12
Calvin Bassey,3,ng NGA,CB,25-104,90,65,5,28,35,2,0,65,1,1,100.0,0,0.0,37,147,100,1,1,0,1,0,48,0
Joachim Andersen,5,dk DEN,CB,28-318,90,76,5,38,35,3,2,76,2,0,0.0,0,0.0,35,169,86,1,0,0,0,0,46,0
Timothy Castagne,21,be BEL,RB,29-130,90,65,5,22,27,17,2,65,2,1,50.0,1,50.0,17,61,21,0,1,0,2,0,24,0
Bernd Leno,1,de GER,GK,33-041,90,32,29,32,0,0,0,32,0,0,,0,,20,70,36,0,0,0,0,0,21,0
