Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Rodrigo Muniz,9,br BRA,FW,23-119,78,14,2,2,7,5,2,14,0,0,,0,,8,39,6,0,0,0,1,0,12,1
Raúl Jiménez,7,mx MEX,FW,33-118,12,3,1,1,0,2,1,3,0,0,,0,,3,35,32,1,0,1,0,0,3,0
Alex Iwobi,17,ng NGA,LW,28-120,86,40,2,6,16,19,2,40,3,2,66.7,1,33.3,29,129,61,2,1,1,0,3,29,3
Harry Wilson,8,wls WAL,"RW,LW",27-162,4,3,0,2,1,0,0,3,0,0,,0,,0,0,0,0,0,0,1,0,0,0
Adama Traoré,11,es ESP,"RW,LW",28-219,90,35,0,3,15,18,5,35,6,5,83.3,1,16.7,28,250,148,6,1,3,1,2,30,9
Emile Smith Rowe,32,eng ENG,LM,24-034,71,40,0,8,23,9,2,40,0,0,,0,,25,128,67,0,2,0,0,0,34,5
Sander Berge,16,no NOR,DM,26-199,19,12,2,4,6,2,0,12,0,0,,0,,6,44,12,0,0,0,0,0,5,0
Saša Lukić,20,rs SRB,"CM,DM",28-018,86,45,1,9,32,5,1,45,1,0,0.0,1,100.0,25,187,83,2,0,1,0,0,29,0
Harrison Reed,6,eng ENG,DM,29-217,4,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Andreas Pereira,18,br BRA,"RM,AM",28-243,86,58,1,9,24,25,0,58,2,1,50.0,1,50.0,29,140,59,0,4,0,0,0,39,1
Tom Cairney,10,sct SCO,AM,33-224,4,4,0,0,3,1,0,4,0,0,,0,,2,2,2,0,0,0,0,0,3,1
Antonee Robinson,33,us USA,LB,27-023,90,49,3,18,16,15,0,49,5,4,80.0,1,20.0,25,103,56,1,0,0,3,1,35,6
Calvin Bassey,3,ng NGA,CB,24-244,90,77,4,40,35,2,1,77,3,2,66.7,1,33.3,58,207,105,1,0,0,1,0,61,0
Issa Diop,31,fr FRA,CB,27-235,90,56,6,29,24,3,3,56,0,0,,0,,34,150,65,0,0,0,0,1,39,0
Kenny Tete,2,nl NED,RB,28-327,90,60,2,19,29,12,2,60,0,0,,0,,25,92,39,1,0,0,3,0,30,2
Bernd Leno,1,de GER,GK,32-180,90,49,36,48,1,0,0,49,0,0,,0,,30,58,25,0,0,0,0,0,28,0
