Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Raúl Jiménez,7,mx MEX,FW,33-210,77,0,0,0,2,0,1,3,0,1,0,0,0,4,5,3,62.5
Rodrigo Muniz,9,br BRA,FW,23-211,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,57.1
Reiss Nelson,19,eng ENG,LW,24-357,61,0,0,0,0,0,0,4,1,1,0,0,0,6,0,0,
Harry Wilson,8,wls WAL,"RW,RM",27-254,29,0,0,0,1,0,0,1,1,1,0,0,0,4,0,0,
Alex Iwobi,17,ng NGA,"RW,LW",28-212,85,0,0,0,2,0,0,1,1,0,0,0,0,6,0,2,0.0
Ryan Sessegnon,30,eng ENG,LM,24-197,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
Emile Smith Rowe,32,eng ENG,AM,24-126,85,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0.0
Timothy Castagne,21,be BEL,RB,28-362,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sander Berge,16,no NOR,"DM,CM",26-291,90,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,50.0
Saša Lukić,20,rs SRB,DM,28-110,61,1,0,0,2,1,0,10,1,0,0,0,0,6,0,1,0.0
Tom Cairney,10,sct SCO,DM,33-316,21,0,1,0,1,0,0,0,1,0,0,0,0,2,1,0,100.0
Antonee Robinson,33,us USA,LB,27-115,90,0,0,0,2,1,0,3,1,1,0,0,0,6,0,0,
Calvin Bassey,3,ng NGA,CB,24-336,90,0,0,0,1,1,0,0,1,1,0,0,0,5,1,0,100.0
Issa Diop,31,fr FRA,CB,27-327,90,0,0,0,1,0,0,0,0,2,0,0,0,1,1,1,50.0
Kenny Tete,2,nl NED,"RB,CB",29-053,90,0,0,0,1,0,0,3,5,2,0,0,0,6,1,0,100.0
Bernd Leno,1,de GER,GK,32-272,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
