Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Raúl Jiménez,7,mx MEX,FW,33-235,73,24,2,6,10,9,4,24,2,0,0.0,2,100.0,10,58,34,1,0,1,0,0,15,2
Rodrigo Muniz,9,br BRA,FW,23-236,17,10,0,1,6,4,2,10,1,1,100.0,0,0.0,5,27,5,0,2,0,0,0,8,1
Antonee Robinson,33,us USA,LW,27-140,90,67,4,19,27,22,4,67,3,2,66.7,1,33.3,40,261,179,5,1,1,0,1,50,12
Adama Traoré,11,es ESP,RW,28-336,66,17,0,2,8,9,2,17,2,2,100.0,0,0.0,16,177,102,4,2,1,0,1,16,6
Harry Wilson,8,wls WAL,RW,27-279,24,14,0,0,7,7,3,14,0,0,,0,,4,12,5,0,0,0,0,0,8,3
Alex Iwobi,17,ng NGA,CM,28-237,89,79,1,12,46,23,2,79,6,4,66.7,1,16.7,50,374,201,8,5,2,3,1,66,8
Ryan Sessegnon,30,eng ENG,CM,24-222,1,1,0,0,1,0,0,1,0,0,,0,,1,7,0,0,0,0,0,1,1,0
Saša Lukić,20,rs SRB,CM,28-135,90,76,2,21,45,10,0,76,2,2,100.0,0,0.0,42,203,65,1,1,0,1,0,59,1
Andreas Pereira,18,br BRA,CM,28-360,73,40,1,11,15,14,0,40,1,0,0.0,0,0.0,21,101,54,0,2,0,1,1,29,0
Tom Cairney,10,sct SCO,CM,33-341,17,19,0,6,13,1,0,19,0,0,,0,,7,33,8,0,0,0,1,0,14,0
Calvin Bassey,3,ng NGA,LB,24-361,90,98,4,45,48,7,3,98,5,2,40.0,1,20.0,61,379,250,2,2,2,1,0,76,1
Joachim Andersen,5,dk DEN,CB,28-209,90,79,11,53,28,2,0,79,1,1,100.0,0,0.0,45,200,108,0,1,0,0,0,64,0
Issa Diop,31,fr FRA,CB,27-352,90,79,14,46,33,0,0,79,0,0,,0,,44,192,132,0,0,0,1,0,52,0
Timothy Castagne,21,be BEL,RB,29-021,90,56,7,23,18,15,3,56,1,0,0.0,0,0.0,23,130,73,3,0,0,0,2,26,8
Bernd Leno,1,de GER,GK,32-297,90,45,42,45,0,0,0,45,0,0,,0,,33,134,94,0,0,0,0,0,27,0
