Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Rodrigo Muniz,9,br BRA,FW,23-215,79,2,1,1,0,1,1,1,100.0,0,1,0,1,2,4,1,0
Raúl Jiménez,7,mx MEX,FW,33-214,11,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0
Reiss Nelson,19,eng ENG,LW,24-361,70,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,1,0
Adama Traoré,11,es ESP,"RW,LW",28-315,20,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Harry Wilson,8,wls WAL,RW,27-258,79,1,0,1,0,0,0,0,,0,2,0,2,1,2,0,0
Joshua King,24,eng ENG,AM,17-337,11,2,1,0,2,0,0,1,0.0,1,0,0,0,1,3,0,0
Emile Smith Rowe,32,eng ENG,AM,24-130,70,2,1,1,0,1,0,2,0.0,2,1,1,0,0,2,2,0
Andreas Pereira,18,br BRA,DM,28-339,20,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Sander Berge,16,no NOR,DM,26-295,89,2,0,1,1,0,2,4,50.0,2,1,1,0,0,2,4,0
Jorge Cuenca,15,es ESP,DM,25-018,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alex Iwobi,17,ng NGA,"DM,LW,AM",28-216,90,1,0,1,0,0,1,2,50.0,1,1,0,1,1,2,4,0
Antonee Robinson,33,us USA,LB,27-119,90,1,1,1,0,0,1,2,50.0,1,1,1,0,2,3,6,0
Calvin Bassey,3,ng NGA,CB,24-340,90,3,2,3,0,0,2,2,100.0,0,4,2,2,0,3,3,0
Issa Diop,31,fr FRA,CB,27-331,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
Timothy Castagne,21,be BEL,RB,29-000,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,0
Bernd Leno,1,de GER,GK,32-276,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
