Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Raúl Jiménez,7,mx MEX,FW,33-293,90,0,0,0,2,0,0,2,0,0,0,0,0,3,4,4,50.0
Alex Iwobi,17,ng NGA,LW,28-295,79,0,0,0,0,0,0,2,1,0,0,0,0,3,1,2,33.3
Rodrigo Muniz,9,br BRA,FW,23-294,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
Adama Traoré,11,es ESP,"RW,RM",29-028,90,0,0,0,1,1,0,5,0,0,0,0,0,4,1,1,50.0
Emile Smith Rowe,32,eng ENG,AM,24-209,57,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Andreas Pereira,18,br BRA,"AM,CM",29-052,33,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,
Sander Berge,16,no NOR,DM,27-008,57,1,0,0,2,0,0,1,0,0,0,0,0,1,2,1,66.7
Tom Cairney,10,sct SCO,DM,34-033,22,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Willian,22,br BRA,LM,36-197,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saša Lukić,20,rs SRB,"DM,CM",28-193,90,0,0,0,3,2,0,8,2,3,0,0,0,7,0,0,
Antonee Robinson,33,us USA,LB,27-198,90,0,0,0,1,0,0,4,2,1,0,0,0,7,4,0,100.0
Calvin Bassey,3,ng NGA,CB,25-053,90,0,0,0,0,2,0,0,0,1,0,0,0,10,1,0,100.0
Joachim Andersen,5,dk DEN,CB,28-267,90,0,0,0,0,0,0,0,2,0,0,0,1,6,2,0,100.0
Timothy Castagne,21,be BEL,RB,29-079,79,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,
Issa Diop,31,fr FRA,RB,28-044,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Bernd Leno,1,de GER,GK,32-355,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
