Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Raúl Jiménez,7,mx MEX,FW,33-266,63,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0
Rodrigo Muniz,9,br BRA,FW,23-267,27,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Alex Iwobi,17,ng NGA,LW,28-268,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Harry Wilson,8,wls WAL,RW,27-310,52,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Adama Traoré,11,es ESP,RW,29-001,38,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
Emile Smith Rowe,32,eng ENG,AM,24-182,81,1,0,0,1,0,0,0,,0,3,0,3,0,1,1,0
Andreas Pereira,18,br BRA,AM,29-025,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sander Berge,16,no NOR,DM,26-347,90,2,2,1,1,0,1,1,100.0,0,0,0,0,2,4,3,0
Saša Lukić,20,rs SRB,DM,28-166,81,3,2,0,3,0,0,0,,0,1,0,1,0,3,1,0
Tom Cairney,10,sct SCO,DM,34-006,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Antonee Robinson,33,us USA,LB,27-171,90,2,2,2,0,0,1,2,50.0,1,0,0,0,0,2,1,0
Calvin Bassey,3,ng NGA,CB,25-026,90,2,1,1,1,0,2,2,100.0,0,1,1,0,1,3,1,0
Joachim Andersen,5,dk DEN,CB,28-240,90,2,2,1,1,0,1,1,100.0,0,1,0,1,2,4,4,0
Timothy Castagne,21,be BEL,RB,29-052,90,2,0,1,1,0,1,1,100.0,0,1,0,1,1,3,0,0
Bernd Leno,1,de GER,GK,32-328,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
