Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Raúl Jiménez,7,mx MEX,FW,33-266,63,16,16,0,0,0,0,0,0,0,0,0,0,13,0,1
Rodrigo Muniz,9,br BRA,FW,23-267,27,7,6,1,0,0,0,0,0,0,0,0,0,3,0,0
Alex Iwobi,17,ng NGA,LW,28-268,90,46,46,0,0,0,0,3,0,0,0,0,0,35,0,0
Harry Wilson,8,wls WAL,RW,27-310,52,17,17,0,0,0,0,0,0,0,0,0,0,12,0,1
Adama Traoré,11,es ESP,RW,29-001,38,15,14,0,0,0,0,5,0,0,0,0,0,9,1,1
Emile Smith Rowe,32,eng ENG,AM,24-182,81,30,30,0,0,0,0,0,0,0,0,0,0,25,0,2
Andreas Pereira,18,br BRA,AM,29-025,9,8,6,2,0,0,0,2,0,2,2,0,0,6,0,0
Sander Berge,16,no NOR,DM,26-347,90,56,56,0,0,1,1,0,0,0,0,0,0,52,0,1
Saša Lukić,20,rs SRB,DM,28-166,81,48,44,4,2,0,0,2,0,1,1,0,0,42,0,0
Tom Cairney,10,sct SCO,DM,34-006,9,18,18,0,0,0,0,0,0,0,0,0,0,16,0,0
Antonee Robinson,33,us USA,LB,27-171,90,69,58,11,2,0,0,8,9,0,0,0,0,56,0,2
Calvin Bassey,3,ng NGA,CB,25-026,90,70,65,5,1,0,0,1,0,0,0,0,0,64,0,0
Joachim Andersen,5,dk DEN,CB,28-240,90,68,65,2,2,0,0,0,0,0,0,0,0,48,1,0
Timothy Castagne,21,be BEL,RB,29-052,90,44,36,8,1,0,0,2,7,0,0,0,0,37,0,2
Bernd Leno,1,de GER,GK,32-328,90,26,23,3,3,0,0,0,0,0,0,0,0,19,0,0
