Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Raúl Jiménez,7,mx MEX,FW,33-307,68,0,0,0,2,2,1,0,0,0,0,0,0,5,3,1,75.0
Rodrigo Muniz,9,br BRA,FW,23-308,22,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,40.0
Emile Smith Rowe,32,eng ENG,AM,24-223,81,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,50.0
Willian,22,br BRA,AM,36-211,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
Alex Iwobi,17,ng NGA,AM,28-309,88,0,0,0,1,0,0,4,0,1,0,0,0,8,0,2,0.0
Ryan Sessegnon,30,eng ENG,AM,24-294,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sander Berge,16,no NOR,CM,27-022,90,0,0,0,2,0,0,0,0,0,0,0,0,5,0,2,0.0
Andreas Pereira,18,br BRA,CM,29-066,81,0,0,0,2,1,0,7,0,1,0,0,0,4,0,0,
Harrison Reed,6,eng ENG,CM,30-040,9,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
Antonee Robinson,33,us USA,WB,27-212,90,1,0,0,0,0,0,6,0,1,0,0,0,4,2,2,50.0
Timothy Castagne,21,be BEL,WB,29-093,90,0,0,0,2,1,0,4,2,3,0,0,0,2,2,4,33.3
Calvin Bassey,3,ng NGA,CB,25-067,90,0,0,0,1,1,0,0,0,2,0,0,0,4,2,1,66.7
Joachim Andersen,5,dk DEN,CB,28-281,90,1,0,0,0,0,0,0,2,1,0,0,0,2,1,0,100.0
Issa Diop,31,fr FRA,CB,28-058,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0
Bernd Leno,1,de GER,GK,33-004,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
