Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Raúl Jiménez,7,mx MEX,FW,33-183,72,0,0,0,1,0,0,1,1,0,0,0,0,3,2,6,25.0
Rodrigo Muniz,9,br BRA,FW,23-184,18,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0
Reiss Nelson,19,eng ENG,"LW,RW",24-330,81,0,0,0,1,2,1,7,0,0,0,0,0,1,0,3,0.0
Harry Wilson,8,wls WAL,RW,27-227,9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.0
Alex Iwobi,17,ng NGA,"LW,RW",28-185,90,0,0,0,0,2,1,6,1,0,0,0,0,0,1,2,33.3
Emile Smith Rowe,32,eng ENG,AM,24-099,81,0,0,0,0,2,0,1,1,1,0,0,0,2,0,2,0.0
Tom Cairney,10,sct SCO,AM,33-289,9,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,
Sander Berge,16,no NOR,DM,26-264,90,0,0,0,0,0,0,0,2,3,0,0,0,11,2,0,100.0
Andreas Pereira,18,br BRA,DM,28-308,64,0,0,0,0,1,0,8,0,1,0,0,0,5,0,1,0.0
Adama Traoré,11,es ESP,DM,28-284,26,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,100.0
Antonee Robinson,33,us USA,LB,27-088,90,0,0,0,0,0,0,7,4,0,0,0,0,6,1,1,50.0
Calvin Bassey,3,ng NGA,CB,24-309,90,0,0,0,0,2,0,1,0,1,0,0,0,3,1,3,25.0
Joachim Andersen,5,dk DEN,CB,28-157,90,0,0,0,0,0,0,1,1,0,0,0,0,5,2,2,50.0
Kenny Tete,2,nl NED,RB,29-026,72,0,0,0,0,0,0,0,3,2,0,0,0,2,4,0,100.0
Timothy Castagne,21,be BEL,RB,28-335,18,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,33.3
Bernd Leno,1,de GER,GK,32-245,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
