Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Raúl Jiménez,7,mx MEX,FW,33-188,74,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,0,1
Rodrigo Muniz,9,br BRA,FW,23-189,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Reiss Nelson,19,eng ENG,LW,24-335,81,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Harry Wilson,8,wls WAL,"RW,LW",27-232,9,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
Alex Iwobi,17,ng NGA,RW,28-190,88,3,1,1,2,0,1,1,100.0,0,1,0,1,0,3,0,0
Adama Traoré,11,es ESP,LW,28-289,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Emile Smith Rowe,32,eng ENG,AM,24-104,88,1,1,0,1,0,0,2,0.0,2,2,0,2,1,2,0,0
Harrison Reed,6,eng ENG,AM,29-287,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sander Berge,16,no NOR,DM,26-269,90,1,1,0,1,0,1,1,100.0,0,1,0,1,2,3,0,0
Andreas Pereira,18,br BRA,DM,28-313,82,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0
Tom Cairney,10,sct SCO,DM,33-294,8,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
Antonee Robinson,33,us USA,LB,27-093,90,1,1,1,0,0,0,2,0.0,2,2,0,2,4,5,1,0
Calvin Bassey,3,ng NGA,CB,24-314,90,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,3,1
Joachim Andersen,5,dk DEN,CB,28-162,90,1,0,1,0,0,1,1,100.0,0,1,1,0,1,2,5,0
Kenny Tete,2,nl NED,RB,29-031,90,4,4,1,2,1,0,0,,0,3,2,1,1,5,3,0
Bernd Leno,1,de GER,GK,32-250,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
