Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Raúl Jiménez,7,mx MEX,FW,33-153,76,16,16,0,0,1,0,0,0,0,0,0,0,12,0,0
Rodrigo Muniz,9,br BRA,FW,23-154,14,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Adama Traoré,11,es ESP,"LM,LW",28-254,90,27,27,0,0,0,0,1,0,0,0,0,0,20,0,0
Saša Lukić,20,rs SRB,CM,28-053,90,64,62,2,1,0,2,1,0,1,0,1,0,57,0,3
Sander Berge,16,no NOR,CM,26-234,64,29,29,0,0,0,0,0,0,0,0,0,0,25,0,1
Tom Cairney,10,sct SCO,"LM,CM",33-259,26,36,36,0,0,0,0,0,0,0,0,0,0,34,0,2
Andreas Pereira,18,br BRA,RM,28-278,64,16,10,6,1,0,0,2,0,2,1,1,0,13,0,0
Emile Smith Rowe,32,eng ENG,RM,24-069,26,22,22,0,0,0,0,0,0,0,0,0,0,20,0,0
Antonee Robinson,33,us USA,LB,27-058,90,46,38,7,0,0,0,9,7,0,0,0,0,31,1,1
Calvin Bassey,3,ng NGA,CB,24-279,90,58,50,8,1,0,0,0,0,0,0,0,0,56,0,0
Joachim Andersen,5,dk DEN,CB,28-127,90,56,54,0,0,0,2,0,0,0,0,0,0,43,2,0
Kenny Tete,2,nl NED,CB,28-362,76,33,31,2,0,0,0,0,2,0,0,0,0,29,0,1
Timothy Castagne,21,be BEL,RB,28-305,14,12,10,2,0,0,0,0,2,0,0,0,0,10,0,0
Alex Iwobi,17,ng NGA,RB,28-155,76,37,36,1,0,0,1,2,1,0,0,0,0,30,0,0
Reiss Nelson,19,eng ENG,RW,24-300,14,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
Bernd Leno,1,de GER,GK,32-215,90,25,23,2,1,0,0,0,0,0,0,0,0,21,0,0
