Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Raúl Jiménez,7,mx MEX,FW,33-139,73,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0
Rodrigo Muniz,9,br BRA,FW,23-140,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alex Iwobi,17,ng NGA,"LW,RM,RW",28-141,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
Adama Traoré,11,es ESP,RW,28-240,73,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Reiss Nelson,19,eng ENG,"LM,LW",24-286,17,2,2,1,1,0,2,2,100.0,0,0,0,0,0,2,0,0
Emile Smith Rowe,32,eng ENG,AM,24-055,83,3,1,1,0,2,1,2,50.0,1,0,0,0,0,3,1,0
Issa Diop,31,fr FRA,CB,27-256,7,2,1,2,0,0,0,0,,0,0,0,0,0,2,0,0
Saša Lukić,20,rs SRB,DM,28-039,45,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0
Sander Berge,16,no NOR,"DM,CM",26-220,45,1,1,0,1,0,0,0,,0,0,0,0,2,3,1,0
Andreas Pereira,18,br BRA,DM,28-264,66,3,1,1,1,1,1,1,100.0,0,0,0,0,0,3,1,0
Harrison Reed,6,eng ENG,"DM,CM",29-238,24,2,0,1,1,0,0,0,,0,0,0,0,0,2,0,0
Antonee Robinson,33,us USA,LB,27-044,90,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,3,0
Calvin Bassey,3,ng NGA,CB,24-265,90,1,0,0,1,0,0,0,,0,1,1,0,0,1,6,0
Joachim Andersen,5,dk DEN,CB,28-113,90,0,0,0,0,0,0,2,0.0,2,1,1,0,2,2,7,0
Kenny Tete,2,nl NED,RB,28-348,90,2,1,2,0,0,1,2,50.0,1,0,0,0,1,3,1,0
Bernd Leno,1,de GER,GK,32-201,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
