Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Raúl Jiménez,7,mx MEX,FW,33-146,82,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0
Rodrigo Muniz,9,br BRA,FW,23-147,8,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Alex Iwobi,17,ng NGA,"LW,RW,RM",28-148,90,60,58,2,0,1,0,3,1,1,0,0,0,46,0,3
Adama Traoré,11,es ESP,RW,28-247,68,31,31,0,0,0,0,7,0,0,0,0,0,23,0,0
Reiss Nelson,19,eng ENG,"LW,LM",24-293,22,11,11,0,0,0,0,1,0,0,0,0,0,8,0,0
Emile Smith Rowe,32,eng ENG,AM,24-062,87,51,51,0,0,0,0,0,0,0,0,0,0,47,0,0
Issa Diop,31,fr FRA,CB,27-263,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saša Lukić,20,rs SRB,DM,28-046,82,46,46,0,0,0,0,0,0,0,0,0,0,40,0,1
Harrison Reed,6,eng ENG,"CM,DM",29-245,8,4,2,2,1,0,0,1,0,1,0,1,0,1,0,0
Andreas Pereira,18,br BRA,DM,28-271,68,31,25,6,2,0,0,6,0,3,0,3,0,24,0,0
Sander Berge,16,no NOR,"DM,CM",26-227,22,15,15,0,0,0,0,0,0,0,0,0,0,11,0,0
Antonee Robinson,33,us USA,LB,27-051,90,54,47,6,1,0,0,2,5,0,0,0,0,45,1,0
Calvin Bassey,3,ng NGA,CB,24-272,90,62,60,2,1,0,0,0,0,0,0,0,0,58,0,0
Joachim Andersen,5,dk DEN,CB,28-120,90,86,81,5,5,0,2,0,0,0,0,0,0,76,0,0
Kenny Tete,2,nl NED,RB,28-355,90,55,51,4,0,0,0,3,4,0,0,0,0,43,0,1
Bernd Leno,1,de GER,GK,32-208,90,36,25,11,6,0,0,0,0,0,0,0,0,32,0,0
