Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Liam Delap,19,eng ENG,FW,22-053,71,26,26,0,0,0,0,1,0,0,0,0,0,15,0,0
George Hirst,27,sct SCO,FW,26-046,19,7,7,0,0,0,0,0,0,0,0,0,0,4,0,1
Julio Enciso,9,py PAR,LW,21-069,71,19,19,0,0,0,0,1,0,0,0,0,0,16,0,1
Jack Clarke,47,eng ENG,LW,24-130,19,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0
Ben Johnson,18,eng ENG,RW,25-068,89,24,20,4,1,0,1,7,0,3,2,1,0,11,0,5
Jaden Philogene Bidace,29,eng ENG,RW,23-053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Broadhead,33,wls WAL,AM,26-362,71,24,22,2,0,1,0,0,0,0,0,0,0,17,0,1
Jack Taylor,14,ie IRL,AM,26-283,19,7,7,0,0,0,0,0,0,0,0,0,0,4,0,1
Jens Cajuste,12,se SWE,DM,25-235,90,32,30,2,1,0,0,0,1,0,0,0,0,27,0,0
Sam Morsy,5,eg EGY,DM,33-204,81,29,29,0,0,0,0,1,0,0,0,0,0,23,0,2
Kalvin Phillips,8,eng ENG,DM,29-121,9,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Conor Townsend,22,eng ENG,LB,32-029,90,31,25,6,2,0,0,3,4,0,0,0,0,17,0,3
Cameron Burgess,15,au AUS,CB,29-163,90,24,20,4,3,0,0,0,0,0,0,0,0,18,0,0
Dara O'Shea,26,ie IRL,CB,26-029,90,28,27,1,1,0,0,0,0,0,0,0,0,17,0,1
Axel Tuanzebe,40,cd COD,RB,27-139,90,38,22,16,0,0,0,0,16,0,0,0,0,29,0,1
Alex Palmer,31,eng ENG,GK,28-235,90,37,22,15,6,0,0,0,0,0,0,0,0,24,0,0
