Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Liam Delap,19,eng ENG,FW,21-323,79,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ali Al Hamadi,16,iq IRQ,FW,22-301,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sammie Szmodics,23,ie IRL,LM,29-094,70,1,1,0,1,0,0,2,0.0,2,0,0,0,1,2,2,0
Jack Clarke,47,eng ENG,LM,24-034,20,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0
Jens Cajuste,12,se SWE,CM,25-139,79,3,1,2,1,0,1,1,100.0,0,0,0,0,1,4,2,0
Jack Taylor,14,ie IRL,CM,26-187,11,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Kalvin Phillips,8,eng ENG,CM,29-025,90,1,1,0,0,1,1,4,25.0,3,3,1,2,0,1,5,0
Omari Hutchinson,20,eng ENG,RM,21-058,90,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0
Leif Davis,3,eng ENG,LB,24-350,90,6,2,6,0,0,4,4,100.0,0,1,0,1,1,7,3,0
Jacob Greaves,24,eng ENG,CB,24-106,90,1,1,1,0,0,1,1,100.0,0,1,1,0,3,4,3,0
Luke Woolfenden,6,eng ENG,CB,26-067,89,0,0,0,0,0,0,0,,0,0,0,0,3,3,6,0
Harry Clarke,2,eng ENG,RB,23-300,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dara O'Shea,26,ie IRL,"CB,RB",25-298,90,2,2,1,1,0,1,1,100.0,0,2,2,0,0,2,5,0
Ben Johnson,18,eng ENG,RB,24-338,79,1,0,1,0,0,0,0,,0,1,1,0,0,1,1,0
Nathan Broadhead,33,wls WAL,"FW,RB",26-266,11,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Arijanet Muric,1,xk KVX,GK,26-050,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
