Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Liam Delap,19,eng ENG,FW,21-323,79,0,0,0,1,2,2,0,0,0,0,0,0,2,0,1,0.0
Ali Al Hamadi,16,iq IRQ,FW,22-301,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Sammie Szmodics,23,ie IRL,LM,29-094,70,0,0,0,0,0,0,0,1,1,0,0,0,5,1,1,50.0
Jack Clarke,47,eng ENG,LM,24-034,20,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0.0
Jens Cajuste,12,se SWE,CM,25-139,79,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,
Jack Taylor,14,ie IRL,CM,26-187,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0
Kalvin Phillips,8,eng ENG,CM,29-025,90,0,0,0,2,0,0,1,0,1,0,0,0,0,1,2,33.3
Omari Hutchinson,20,eng ENG,RM,21-058,90,0,0,0,3,1,0,3,0,1,0,0,0,5,1,3,25.0
Leif Davis,3,eng ENG,LB,24-350,90,1,0,0,2,2,0,3,1,2,0,0,0,5,4,1,80.0
Jacob Greaves,24,eng ENG,CB,24-106,90,0,0,0,1,0,0,0,3,1,0,0,0,3,2,2,50.0
Luke Woolfenden,6,eng ENG,CB,26-067,89,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,
Harry Clarke,2,eng ENG,RB,23-300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dara O'Shea,26,ie IRL,"CB,RB",25-298,90,0,0,0,1,1,0,0,0,2,0,0,0,1,4,1,80.0
Ben Johnson,18,eng ENG,RB,24-338,79,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,100.0
Nathan Broadhead,33,wls WAL,"FW,RB",26-266,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Arijanet Muric,1,xk KVX,GK,26-050,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
