Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Liam Delap,19,eng ENG,FW,22-007,79,22,0,3,13,6,4,22,3,2,66.7,1,33.3,13,64,36,3,1,2,4,1,15,1
George Hirst,27,sct SCO,FW,26-000,11,5,1,3,1,2,0,5,0,0,,0,,1,2,0,0,0,0,0,0,1,0
Julio Enciso,9,py PAR,LW,21-023,16,6,1,1,2,3,0,6,2,1,50.0,1,50.0,5,64,41,1,0,0,0,0,3,1
Jack Clarke,47,eng ENG,LW,24-084,29,13,0,7,2,4,0,13,1,1,100.0,0,0.0,10,29,6,0,1,0,0,0,8,0
Luke Woolfenden,6,eng ENG,CB,26-117,45,11,5,9,0,2,1,11,0,0,,0,,3,21,12,0,0,0,1,0,2,0
Ben Johnson,18,eng ENG,"RB,RW",25-022,90,32,5,14,11,7,0,32,1,0,0.0,1,100.0,10,40,5,0,0,0,2,2,10,1
Omari Hutchinson,20,eng ENG,"CM,AM",21-108,89,31,1,12,13,7,3,31,0,0,,0,,11,114,87,5,0,0,1,0,12,1
Jack Taylor,14,ie IRL,CM,26-237,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Jens Cajuste,12,se SWE,"DM,CM",25-189,79,29,6,18,8,4,0,29,2,1,50.0,1,50.0,14,91,28,0,0,0,2,2,14,0
Massimo Luongo,25,au AUS,CM,32-143,11,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Kalvin Phillips,8,eng ENG,"CM,DM",29-075,90,42,10,20,18,4,0,42,0,0,,0,,11,55,8,0,0,0,2,1,16,0
Conor Townsend,22,eng ENG,LB,31-348,90,46,11,24,15,8,0,46,0,0,,0,,16,49,25,1,1,0,0,2,22,2
Jacob Greaves,24,eng ENG,CB,24-156,90,42,16,31,8,3,0,42,0,0,,0,,19,77,10,0,0,0,0,0,26,0
Dara O'Shea,26,ie IRL,CB,25-348,90,39,14,28,10,1,0,39,0,0,,0,,13,80,44,0,0,0,0,0,16,0
Axel Tuanzebe,40,cd COD,RB,27-093,39,15,0,6,7,2,0,15,0,0,,0,,10,31,15,0,0,0,0,0,11,0
Alex Palmer,31,eng ENG,GK,28-189,90,45,42,45,0,0,0,45,0,0,,0,,19,74,47,0,0,0,0,0,16,0
