Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Liam Delap,19,eng ENG,FW,22-018,90,1,0,0,2,1,0,0,0,0,0,0,0,2,2,2,50.0
Jack Clarke,47,eng ENG,"AM,LW",24-095,90,0,0,0,0,0,1,3,0,1,0,0,0,4,0,1,0.0
Omari Hutchinson,20,eng ENG,AM,21-119,65,0,0,0,2,2,0,0,1,0,0,0,0,2,0,0,
Nathan Broadhead,33,wls WAL,AM,26-327,25,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0.0
Jens Cajuste,12,se SWE,"CM,DM",25-200,89,0,0,0,4,1,0,0,1,1,0,0,0,5,0,0,
Sammie Szmodics,23,ie IRL,DM,29-155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sam Morsy,5,eg EGY,CM,33-169,65,1,0,0,1,0,0,0,1,3,0,0,1,5,1,0,100.0
Jack Taylor,14,ie IRL,DM,26-248,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Leif Davis,3,eng ENG,"WB,LB",25-045,79,0,0,0,0,1,0,7,0,1,0,0,0,2,1,0,100.0
George Hirst,27,sct SCO,LB,26-011,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Jaden Philogene Bidace,29,eng ENG,"WB,RW",23-018,90,0,0,0,2,2,0,3,3,3,0,0,0,4,1,1,50.0
Jacob Greaves,24,eng ENG,CB,24-167,90,0,0,0,0,1,0,0,1,1,0,0,0,1,2,1,66.7
Dara O'Shea,26,ie IRL,CB,25-359,90,1,0,0,0,1,0,0,1,0,0,0,0,3,6,1,85.7
Axel Tuanzebe,40,cd COD,"CB,RB",27-104,79,0,0,0,3,0,0,2,3,0,0,0,0,4,0,1,0.0
Ben Johnson,18,eng ENG,RB,25-033,11,1,0,0,2,0,0,2,0,0,0,0,0,2,0,1,0.0
Alex Palmer,31,eng ENG,GK,28-200,90,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0
